counterparty,description,action,time,base_currency,reporting_dispute_amount,dispute_age,dispute_amount,agreement_id,event_id,rescued_data,reporting_date
DEUTSCHE BANK A.G.,Valuation dispute,Pending Review,2026-06-10 09:30:00,USD,698000.0,3,698000.0,6801,386038,,2026-06-10
SWISS LIFE AG,MTM discrepancy,Under Investigation,2026-06-17 09:30:00,USD,851000.0,1,851000.0,4922,384013,,2026-06-17
CENTRAL 1 CREDIT UNION,Recon break,Resolved,2026-06-10 09:30:00,USD,455000.0,8,455000.0,1813,357586,,2026-06-10
BANK OF NOVA SCOTIA,Late notice,Resolved,2026-06-10 09:30:00,USD,185000.0,1,185000.0,9184,526601,,2026-06-10
MORGAN STANLEY INTL,Recon break,Under Investigation,2026-06-24 09:30:00,USD,801000.0,1,801000.0,7432,340170,,2026-06-24
BANCO HABITAT,MTM discrepancy,Under Investigation,2026-06-17 09:30:00,USD,417000.0,8,417000.0,1584,387090,,2026-06-17
SWISS LIFE AG,Recon break,Under Investigation,2026-06-10 09:30:00,USD,242000.0,1,242000.0,6410,352769,,2026-06-10
MORGAN STANLEY INTL,Valuation dispute,Pending Review,2026-06-17 09:30:00,USD,528000.0,3,528000.0,1853,376538,,2026-06-17
MORGAN STANLEY INTL,MTM discrepancy,Under Investigation,2026-06-24 09:30:00,USD,192000.0,5,192000.0,5975,387944,,2026-06-24
CENTRAL 1 CREDIT UNION,Late notice,Pending Review,2026-07-01 09:30:00,USD,590000.0,15,590000.0,3941,357879,,2026-07-01
BANCO HABITAT,Late notice,Under Investigation,2026-06-17 09:30:00,USD,193000.0,3,193000.0,7912,367511,,2026-06-17
SWISS LIFE AG,MTM discrepancy,Resolved,2026-06-03 09:30:00,USD,672000.0,15,672000.0,5843,381359,,2026-06-03
CITIBANK NA,MTM discrepancy,Pending Review,2026-06-03 09:30:00,USD,430000.0,3,430000.0,2005,376733,,2026-06-03
DEUTSCHE BANK A.G.,Recon break,Pending Review,2026-06-03 09:30:00,USD,566000.0,1,566000.0,4131,396608,,2026-06-03
BANK OF NOVA SCOTIA,Recon break,Pending Review,2026-06-17 09:30:00,USD,470000.0,8,470000.0,8004,354032,,2026-06-17
INVESTEC BANK LIMITED,Valuation dispute,Pending Review,2026-06-17 09:30:00,USD,844000.0,15,844000.0,2423,368039,,2026-06-17
INVESTEC BANK LIMITED,Recon break,Pending Review,2026-06-03 09:30:00,USD,107000.0,5,107000.0,3401,363120,,2026-06-03
DEUTSCHE BANK A.G.,Valuation dispute,Under Investigation,2026-06-17 09:30:00,USD,615000.0,8,615000.0,5403,351432,,2026-06-17
CENTRAL 1 CREDIT UNION,Recon break,Resolved,2026-06-10 09:30:00,USD,24000.0,15,24000.0,1414,351207,,2026-06-10
BANK OF NOVA SCOTIA,Recon break,Under Investigation,2026-06-17 09:30:00,USD,92000.0,8,92000.0,5266,367172,,2026-06-17
DEUTSCHE BANK A.G.,MTM discrepancy,Under Investigation,2026-06-10 09:30:00,USD,614000.0,5,614000.0,2296,385094,,2026-06-10
DEUTSCHE BANK A.G.,Recon break,Resolved,2026-06-03 09:30:00,USD,799000.0,3,799000.0,2278,342533,,2026-06-03
CENTRAL 1 CREDIT UNION,MTM discrepancy,Pending Review,2026-06-17 09:30:00,USD,589000.0,8,589000.0,4670,388637,,2026-06-17
CENTRAL 1 CREDIT UNION,Valuation dispute,Pending Review,2026-07-01 09:30:00,USD,637000.0,15,637000.0,8108,398761,,2026-07-01
DEUTSCHE BANK A.G.,Recon break,Resolved,2026-06-17 09:30:00,USD,227000.0,15,227000.0,3641,395688,,2026-06-17
CITIBANK NA,MTM discrepancy,Pending Review,2026-06-24 09:30:00,USD,328000.0,3,328000.0,5696,523451,,2026-06-24
BANCO HABITAT,Recon break,Pending Review,2026-06-17 09:30:00,USD,469000.0,5,469000.0,6994,362968,,2026-06-17
CITIBANK NA,Late notice,Resolved,2026-06-24 09:30:00,USD,259000.0,15,259000.0,4602,398356,,2026-06-24
CENTRAL 1 CREDIT UNION,Valuation dispute,Pending Review,2026-06-24 09:30:00,USD,392000.0,15,392000.0,7269,373611,,2026-06-24
BANCO HABITAT,Valuation dispute,Under Investigation,2026-06-17 09:30:00,USD,444000.0,8,444000.0,8777,387192,,2026-06-17
CENTRAL 1 CREDIT UNION,Late notice,Resolved,2026-07-01 09:30:00,USD,219000.0,5,219000.0,7480,560957,,2026-07-01
INVESTEC BANK LIMITED,Valuation dispute,Resolved,2026-06-24 09:30:00,USD,162000.0,15,162000.0,6456,358705,,2026-06-24
MORGAN STANLEY INTL,Valuation dispute,Resolved,2026-06-03 09:30:00,USD,186000.0,15,186000.0,7945,385215,,2026-06-03
MORGAN STANLEY INTL,MTM discrepancy,Under Investigation,2026-06-03 09:30:00,USD,678000.0,15,678000.0,8393,343425,,2026-06-03
WELLINGTON GLOBAL EQUITY FUND 28R5,Recon break,Pending Review,2026-06-10 09:30:00,USD,663000.0,1,663000.0,2857,358529,,2026-06-10
DEUTSCHE BANK A.G.,Recon break,Under Investigation,2026-06-03 09:30:00,USD,256000.0,8,256000.0,1844,386807,,2026-06-03
BANCO HABITAT,MTM discrepancy,Under Investigation,2026-06-24 09:30:00,USD,824000.0,3,824000.0,9774,385541,,2026-06-24
BANK OF NOVA SCOTIA,Valuation dispute,Resolved,2026-07-01 09:30:00,USD,863000.0,15,863000.0,5754,376682,,2026-07-01
INVESTEC BANK LIMITED,Recon break,Under Investigation,2026-06-03 09:30:00,USD,597000.0,1,597000.0,4221,347562,,2026-06-03
BIMCOR INC,Late notice,Under Investigation,2026-06-03 09:30:00,USD,250000.0,1,250000.0,5685,381055,,2026-06-03
CITIBANK NA,Valuation dispute,Under Investigation,2026-06-17 09:30:00,USD,398000.0,15,398000.0,6333,368643,,2026-06-17
BANCO HABITAT,Recon break,Under Investigation,2026-06-10 09:30:00,USD,892000.0,5,892000.0,3749,357941,,2026-06-10
DEUTSCHE BANK A.G.,Valuation dispute,Resolved,2026-06-24 09:30:00,USD,690000.0,8,690000.0,4950,352870,,2026-06-24
BIMCOR INC,Recon break,Pending Review,2026-06-17 09:30:00,USD,724000.0,15,724000.0,5411,382366,,2026-06-17
DEUTSCHE BANK A.G.,MTM discrepancy,Resolved,2026-07-01 09:30:00,USD,597000.0,3,597000.0,1763,365689,,2026-07-01
MORGAN STANLEY INTL,Valuation dispute,Resolved,2026-06-24 09:30:00,USD,334000.0,15,334000.0,9819,344476,,2026-06-24
DEUTSCHE BANK A.G.,MTM discrepancy,Under Investigation,2026-06-24 09:30:00,USD,664000.0,15,664000.0,3528,399614,,2026-06-24
BANK OF NOVA SCOTIA,Late notice,Resolved,2026-06-10 09:30:00,USD,688000.0,5,688000.0,2043,350364,,2026-06-10
MORGAN STANLEY INTL,Late notice,Pending Review,2026-06-24 09:30:00,USD,874000.0,8,874000.0,2052,350151,,2026-06-24
DEUTSCHE BANK A.G.,Recon break,Resolved,2026-06-17 09:30:00,USD,77000.0,8,77000.0,9092,390122,,2026-06-17
BANK OF NOVA SCOTIA,Recon break,Resolved,2026-06-17 09:30:00,USD,550000.0,1,550000.0,2522,384027,,2026-06-17
DEUTSCHE BANK A.G.,Late notice,Pending Review,2026-06-10 09:30:00,USD,294000.0,5,294000.0,7385,393480,,2026-06-10
BANCO HABITAT,Late notice,Pending Review,2026-06-03 09:30:00,USD,243000.0,5,243000.0,8892,383197,,2026-06-03
BANK OF NOVA SCOTIA,Valuation dispute,Resolved,2026-06-24 09:30:00,USD,550000.0,5,550000.0,4689,362163,,2026-06-24
MORGAN STANLEY INTL,MTM discrepancy,Resolved,2026-06-24 09:30:00,USD,41000.0,15,41000.0,6996,377230,,2026-06-24
WELLINGTON GLOBAL EQUITY FUND 28R5,Valuation dispute,Resolved,2026-06-03 09:30:00,USD,418000.0,15,418000.0,7435,373907,,2026-06-03
DEUTSCHE BANK A.G.,Late notice,Pending Review,2026-06-03 09:30:00,USD,212000.0,1,212000.0,7002,342715,,2026-06-03
MORGAN STANLEY INTL,Recon break,Resolved,2026-06-10 09:30:00,USD,514000.0,3,514000.0,4158,393959,,2026-06-10
CITIBANK NA,Valuation dispute,Resolved,2026-06-24 09:30:00,USD,50000.0,5,50000.0,6467,378199,,2026-06-24
WELLINGTON GLOBAL EQUITY FUND 28R5,Recon break,Resolved,2026-06-17 09:30:00,USD,179000.0,5,179000.0,6973,388728,,2026-06-17
CITIBANK NA,MTM discrepancy,Pending Review,2026-07-01 09:30:00,USD,21000.0,15,21000.0,9652,504764,,2026-07-01
BANCO HABITAT,Recon break,Pending Review,2026-06-10 09:30:00,USD,291000.0,1,291000.0,3310,370659,,2026-06-10
BANK OF NOVA SCOTIA,MTM discrepancy,Resolved,2026-06-17 09:30:00,USD,837000.0,1,837000.0,8844,389945,,2026-06-17
CITIBANK NA,MTM discrepancy,Resolved,2026-06-24 09:30:00,USD,55000.0,8,55000.0,5054,399137,,2026-06-24
INVESTEC BANK LIMITED,Valuation dispute,Under Investigation,2026-06-03 09:30:00,USD,575000.0,3,575000.0,9769,367084,,2026-06-03
BANK OF NOVA SCOTIA,Recon break,Resolved,2026-07-01 09:30:00,USD,799000.0,15,799000.0,1861,381083,,2026-07-01
MORGAN STANLEY INTL,Recon break,Resolved,2026-07-01 09:30:00,USD,420000.0,1,420000.0,2958,358418,,2026-07-01
SWISS LIFE AG,Recon break,Under Investigation,2026-06-24 09:30:00,USD,357000.0,1,357000.0,7370,353011,,2026-06-24
CENTRAL 1 CREDIT UNION,Recon break,Resolved,2026-07-01 09:30:00,USD,497000.0,3,497000.0,7766,357330,,2026-07-01
INVESTEC BANK LIMITED,Valuation dispute,Under Investigation,2026-06-17 09:30:00,USD,519000.0,5,519000.0,2645,346109,,2026-06-17
DEUTSCHE BANK A.G.,MTM discrepancy,Under Investigation,2026-06-03 09:30:00,USD,762000.0,8,762000.0,9081,384954,,2026-06-03
BIMCOR INC,Recon break,Under Investigation,2026-06-10 09:30:00,USD,40000.0,3,40000.0,5460,358465,,2026-06-10
CENTRAL 1 CREDIT UNION,Late notice,Resolved,2026-06-10 09:30:00,USD,825000.0,8,825000.0,1759,358647,,2026-06-10
BIMCOR INC,Valuation dispute,Pending Review,2026-06-03 09:30:00,USD,543000.0,1,543000.0,2000,366702,,2026-06-03
DEUTSCHE BANK A.G.,Valuation dispute,Resolved,2026-06-24 09:30:00,USD,751000.0,8,751000.0,4783,341540,,2026-06-24
INVESTEC BANK LIMITED,Late notice,Pending Review,2026-06-03 09:30:00,USD,740000.0,5,740000.0,3328,371316,,2026-06-03
BANCO HABITAT,Recon break,Under Investigation,2026-07-01 09:30:00,USD,588000.0,8,588000.0,7846,343015,,2026-07-01
INVESTEC BANK LIMITED,MTM discrepancy,Under Investigation,2026-06-24 09:30:00,USD,852000.0,8,852000.0,2612,524589,,2026-06-24
BIMCOR INC,Late notice,Under Investigation,2026-07-01 09:30:00,USD,323000.0,1,323000.0,8953,347829,,2026-07-01
BANCO HABITAT,MTM discrepancy,Resolved,2026-06-03 09:30:00,USD,557000.0,3,557000.0,5796,341861,,2026-06-03
BIMCOR INC,MTM discrepancy,Pending Review,2026-07-01 09:30:00,USD,640000.0,8,640000.0,5490,366473,,2026-07-01
SWISS LIFE AG,Valuation dispute,Pending Review,2026-06-17 09:30:00,USD,850000.0,15,850000.0,6811,351878,,2026-06-17
BANCO HABITAT,Recon break,Resolved,2026-06-24 09:30:00,USD,311000.0,5,311000.0,6363,341090,,2026-06-24
BANCO HABITAT,MTM discrepancy,Pending Review,2026-06-24 09:30:00,USD,830000.0,15,830000.0,9867,389468,,2026-06-24
CITIBANK NA,Recon break,Under Investigation,2026-06-10 09:30:00,USD,288000.0,8,288000.0,3512,372053,,2026-06-10
BANCO HABITAT,Valuation dispute,Pending Review,2026-06-10 09:30:00,USD,240000.0,5,240000.0,8479,360794,,2026-06-10
CENTRAL 1 CREDIT UNION,Recon break,Pending Review,2026-06-10 09:30:00,USD,134000.0,3,134000.0,7708,386710,,2026-06-10
BIMCOR INC,Recon break,Resolved,2026-06-17 09:30:00,USD,598000.0,1,598000.0,4218,365938,,2026-06-17
BIMCOR INC,Valuation dispute,Resolved,2026-06-17 09:30:00,USD,437000.0,1,437000.0,8634,388831,,2026-06-17
CENTRAL 1 CREDIT UNION,Valuation dispute,Pending Review,2026-06-10 09:30:00,USD,633000.0,5,633000.0,2154,388728,,2026-06-10
WELLINGTON GLOBAL EQUITY FUND 28R5,Recon break,Pending Review,2026-06-24 09:30:00,USD,116000.0,8,116000.0,1376,360161,,2026-06-24
BIMCOR INC,MTM discrepancy,Resolved,2026-06-24 09:30:00,USD,455000.0,15,455000.0,3555,374422,,2026-06-24
BIMCOR INC,Valuation dispute,Resolved,2026-06-03 09:30:00,USD,17000.0,8,17000.0,7818,381014,,2026-06-03
BIMCOR INC,Valuation dispute,Pending Review,2026-06-10 09:30:00,USD,324000.0,1,324000.0,1507,343673,,2026-06-10
MORGAN STANLEY INTL,Late notice,Under Investigation,2026-06-10 09:30:00,USD,710000.0,15,710000.0,3437,399899,,2026-06-10
WELLINGTON GLOBAL EQUITY FUND 28R5,Late notice,Resolved,2026-06-17 09:30:00,USD,8000.0,8,8000.0,8046,378759,,2026-06-17
MORGAN STANLEY INTL,Valuation dispute,Resolved,2026-06-24 09:30:00,USD,21000.0,3,21000.0,7374,365374,,2026-06-24
DEUTSCHE BANK A.G.,Late notice,Resolved,2026-06-17 09:30:00,USD,504000.0,8,504000.0,8413,350130,,2026-06-17
BANCO HABITAT,Valuation dispute,Resolved,2026-06-10 09:30:00,USD,760000.0,5,760000.0,4925,378341,,2026-06-10
BANCO HABITAT,Valuation dispute,Under Investigation,2026-07-01 09:30:00,USD,66000.0,1,66000.0,2139,377876,,2026-07-01
BANCO HABITAT,Valuation dispute,Under Investigation,2026-06-03 09:30:00,USD,135000.0,15,135000.0,4576,359396,,2026-06-03
INVESTEC BANK LIMITED,Recon break,Under Investigation,2026-07-01 09:30:00,USD,406000.0,8,406000.0,9234,545712,,2026-07-01
WELLINGTON GLOBAL EQUITY FUND 28R5,Valuation dispute,Resolved,2026-06-03 09:30:00,USD,592000.0,8,592000.0,3949,397453,,2026-06-03
BANK OF NOVA SCOTIA,MTM discrepancy,Pending Review,2026-06-17 09:30:00,USD,602000.0,5,602000.0,4996,376571,,2026-06-17
INVESTEC BANK LIMITED,Late notice,Under Investigation,2026-06-17 09:30:00,USD,880000.0,5,880000.0,7276,368799,,2026-06-17
BANK OF NOVA SCOTIA,Valuation dispute,Resolved,2026-06-17 09:30:00,USD,363000.0,1,363000.0,4715,341829,,2026-06-17
BANK OF NOVA SCOTIA,Late notice,Under Investigation,2026-07-01 09:30:00,USD,779000.0,5,779000.0,5727,584317,,2026-07-01
DEUTSCHE BANK A.G.,Recon break,Pending Review,2026-06-17 09:30:00,USD,395000.0,15,395000.0,7009,367694,,2026-06-17
CENTRAL 1 CREDIT UNION,Late notice,Under Investigation,2026-06-17 09:30:00,USD,132000.0,8,132000.0,5280,353807,,2026-06-17
INVESTEC BANK LIMITED,MTM discrepancy,Under Investigation,2026-07-01 09:30:00,USD,614000.0,3,614000.0,5376,342084,,2026-07-01
INVESTEC BANK LIMITED,Valuation dispute,Under Investigation,2026-07-01 09:30:00,USD,227000.0,8,227000.0,3584,394759,,2026-07-01
CENTRAL 1 CREDIT UNION,Late notice,Pending Review,2026-06-03 09:30:00,USD,111000.0,1,111000.0,5538,377357,,2026-06-03
BANCO HABITAT,MTM discrepancy,Pending Review,2026-06-17 09:30:00,USD,594000.0,1,594000.0,4181,359034,,2026-06-17
BIMCOR INC,MTM discrepancy,Pending Review,2026-06-10 09:30:00,USD,720000.0,3,720000.0,2339,372098,,2026-06-10
SWISS LIFE AG,Recon break,Resolved,2026-06-17 09:30:00,USD,222000.0,5,222000.0,4643,398539,,2026-06-17
MORGAN STANLEY INTL,MTM discrepancy,Pending Review,2026-06-10 09:30:00,USD,445000.0,3,445000.0,7732,591019,,2026-06-10
BANK OF NOVA SCOTIA,Valuation dispute,Pending Review,2026-06-03 09:30:00,USD,115000.0,1,115000.0,1514,344738,,2026-06-03
BANK OF NOVA SCOTIA,MTM discrepancy,Under Investigation,2026-07-01 09:30:00,USD,659000.0,3,659000.0,1327,358338,,2026-07-01
BIMCOR INC,MTM discrepancy,Under Investigation,2026-07-01 09:30:00,USD,87000.0,8,87000.0,4863,355510,,2026-07-01
INVESTEC BANK LIMITED,Late notice,Pending Review,2026-06-24 09:30:00,USD,200000.0,8,200000.0,4289,371259,,2026-06-24
CITIBANK NA,Recon break,Pending Review,2026-07-01 09:30:00,USD,133000.0,8,133000.0,5636,392317,,2026-07-01
CENTRAL 1 CREDIT UNION,MTM discrepancy,Under Investigation,2026-06-17 09:30:00,USD,899000.0,1,899000.0,9151,399229,,2026-06-17
CENTRAL 1 CREDIT UNION,Late notice,Under Investigation,2026-06-17 09:30:00,USD,281000.0,8,281000.0,8463,346462,,2026-06-17
INVESTEC BANK LIMITED,Recon break,Under Investigation,2026-06-24 09:30:00,USD,400000.0,15,400000.0,8522,340331,,2026-06-24
MORGAN STANLEY INTL,Recon break,Resolved,2026-07-01 09:30:00,USD,350000.0,1,350000.0,3753,547705,,2026-07-01
CENTRAL 1 CREDIT UNION,MTM discrepancy,Under Investigation,2026-06-10 09:30:00,USD,250000.0,3,250000.0,1928,342139,,2026-06-10
BANK OF NOVA SCOTIA,Late notice,Resolved,2026-06-17 09:30:00,USD,472000.0,8,472000.0,4524,550665,,2026-06-17
SWISS LIFE AG,MTM discrepancy,Pending Review,2026-06-17 09:30:00,USD,346000.0,3,346000.0,6259,356708,,2026-06-17
BIMCOR INC,Recon break,Pending Review,2026-06-17 09:30:00,USD,795000.0,1,795000.0,1147,388949,,2026-06-17
DEUTSCHE BANK A.G.,Late notice,Resolved,2026-06-24 09:30:00,USD,786000.0,5,786000.0,4171,341664,,2026-06-24
DEUTSCHE BANK A.G.,MTM discrepancy,Pending Review,2026-06-24 09:30:00,USD,234000.0,15,234000.0,8447,587739,,2026-06-24
MORGAN STANLEY INTL,Late notice,Under Investigation,2026-06-10 09:30:00,USD,481000.0,15,481000.0,3427,349586,,2026-06-10
WELLINGTON GLOBAL EQUITY FUND 28R5,Valuation dispute,Pending Review,2026-06-10 09:30:00,USD,464000.0,15,464000.0,3083,386281,,2026-06-10
DEUTSCHE BANK A.G.,Valuation dispute,Resolved,2026-06-17 09:30:00,USD,209000.0,15,209000.0,3661,368930,,2026-06-17
INVESTEC BANK LIMITED,MTM discrepancy,Pending Review,2026-06-17 09:30:00,USD,45000.0,1,45000.0,5515,363883,,2026-06-17
DEUTSCHE BANK A.G.,Valuation dispute,Under Investigation,2026-06-10 09:30:00,USD,831000.0,3,831000.0,5430,378492,,2026-06-10
BANCO HABITAT,Recon break,Under Investigation,2026-06-24 09:30:00,USD,227000.0,1,227000.0,7867,340292,,2026-06-24
CITIBANK NA,Valuation dispute,Resolved,2026-06-03 09:30:00,USD,52000.0,5,52000.0,6184,358224,,2026-06-03
BIMCOR INC,Recon break,Pending Review,2026-06-24 09:30:00,USD,594000.0,15,594000.0,9025,393340,,2026-06-24
CENTRAL 1 CREDIT UNION,Valuation dispute,Resolved,2026-06-03 09:30:00,USD,51000.0,1,51000.0,3616,359131,,2026-06-03
SWISS LIFE AG,Valuation dispute,Under Investigation,2026-06-17 09:30:00,USD,407000.0,15,407000.0,7075,377908,,2026-06-17
SWISS LIFE AG,Valuation dispute,Under Investigation,2026-06-17 09:30:00,USD,197000.0,1,197000.0,3594,384877,,2026-06-17
INVESTEC BANK LIMITED,Valuation dispute,Pending Review,2026-06-17 09:30:00,USD,513000.0,5,513000.0,3861,360468,,2026-06-17
BANCO HABITAT,Late notice,Under Investigation,2026-06-10 09:30:00,USD,877000.0,5,877000.0,6674,348511,,2026-06-10
BIMCOR INC,Recon break,Resolved,2026-06-24 09:30:00,USD,718000.0,1,718000.0,9053,354062,,2026-06-24
SWISS LIFE AG,MTM discrepancy,Under Investigation,2026-06-24 09:30:00,USD,37000.0,5,37000.0,6136,385525,,2026-06-24
WELLINGTON GLOBAL EQUITY FUND 28R5,MTM discrepancy,Under Investigation,2026-07-01 09:30:00,USD,745000.0,3,745000.0,7926,393750,,2026-07-01
BANCO HABITAT,Late notice,Under Investigation,2026-06-24 09:30:00,USD,181000.0,3,181000.0,6722,351300,,2026-06-24
MORGAN STANLEY INTL,Recon break,Under Investigation,2026-06-10 09:30:00,USD,149000.0,15,149000.0,5862,341550,,2026-06-10
INVESTEC BANK LIMITED,Valuation dispute,Resolved,2026-06-10 09:30:00,USD,11000.0,3,11000.0,8578,352563,,2026-06-10
MORGAN STANLEY INTL,Valuation dispute,Resolved,2026-06-17 09:30:00,USD,828000.0,1,828000.0,8971,352091,,2026-06-17
BANCO HABITAT,Recon break,Resolved,2026-06-17 09:30:00,USD,135000.0,15,135000.0,1375,341676,,2026-06-17
BANCO HABITAT,Late notice,Resolved,2026-06-24 09:30:00,USD,401000.0,8,401000.0,7361,389748,,2026-06-24
INVESTEC BANK LIMITED,Late notice,Pending Review,2026-07-01 09:30:00,USD,760000.0,15,760000.0,3268,391919,,2026-07-01
BIMCOR INC,Valuation dispute,Under Investigation,2026-06-10 09:30:00,USD,86000.0,1,86000.0,6279,389100,,2026-06-10
WELLINGTON GLOBAL EQUITY FUND 28R5,Recon break,Pending Review,2026-06-24 09:30:00,USD,96000.0,5,96000.0,8001,395211,,2026-06-24
BANCO HABITAT,Valuation dispute,Under Investigation,2026-06-24 09:30:00,USD,321000.0,5,321000.0,9901,392704,,2026-06-24
CENTRAL 1 CREDIT UNION,Valuation dispute,Resolved,2026-06-24 09:30:00,USD,798000.0,5,798000.0,4761,378247,,2026-06-24
BANK OF NOVA SCOTIA,Valuation dispute,Pending Review,2026-07-01 09:30:00,USD,303000.0,15,303000.0,1943,380259,,2026-07-01
MORGAN STANLEY INTL,Valuation dispute,Pending Review,2026-06-24 09:30:00,USD,816000.0,5,816000.0,9483,387285,,2026-06-24
WELLINGTON GLOBAL EQUITY FUND 28R5,Recon break,Under Investigation,2026-06-24 09:30:00,USD,833000.0,5,833000.0,8164,359318,,2026-06-24
BANK OF NOVA SCOTIA,Valuation dispute,Under Investigation,2026-06-24 09:30:00,USD,447000.0,1,447000.0,8748,358154,,2026-06-24
DEUTSCHE BANK A.G.,Recon break,Resolved,2026-06-03 09:30:00,USD,881000.0,1,881000.0,9990,388267,,2026-06-03
BANCO HABITAT,Late notice,Pending Review,2026-06-24 09:30:00,USD,143000.0,5,143000.0,2421,391324,,2026-06-24
DEUTSCHE BANK A.G.,Late notice,Pending Review,2026-06-10 09:30:00,USD,410000.0,1,410000.0,6319,367978,,2026-06-10
SWISS LIFE AG,Recon break,Resolved,2026-07-01 09:30:00,USD,451000.0,8,451000.0,2313,345968,,2026-07-01
MORGAN STANLEY INTL,Recon break,Under Investigation,2026-06-03 09:30:00,USD,171000.0,8,171000.0,1945,382673,,2026-06-03
BANCO HABITAT,Late notice,Resolved,2026-06-10 09:30:00,USD,425000.0,3,425000.0,5713,365236,,2026-06-10
BIMCOR INC,MTM discrepancy,Under Investigation,2026-06-03 09:30:00,USD,692000.0,8,692000.0,7141,361694,,2026-06-03
CENTRAL 1 CREDIT UNION,Late notice,Pending Review,2026-07-01 09:30:00,USD,289000.0,8,289000.0,9219,358462,,2026-07-01
MORGAN STANLEY INTL,Valuation dispute,Pending Review,2026-06-10 09:30:00,USD,603000.0,1,603000.0,4588,585615,,2026-06-10
MORGAN STANLEY INTL,MTM discrepancy,Resolved,2026-06-24 09:30:00,USD,249000.0,15,249000.0,5073,359411,,2026-06-24
CITIBANK NA,MTM discrepancy,Resolved,2026-06-10 09:30:00,USD,571000.0,3,571000.0,2155,369311,,2026-06-10
CITIBANK NA,Valuation dispute,Under Investigation,2026-06-10 09:30:00,USD,333000.0,8,333000.0,8678,376539,,2026-06-10
BIMCOR INC,Valuation dispute,Under Investigation,2026-06-17 09:30:00,USD,831000.0,5,831000.0,1432,342979,,2026-06-17
CITIBANK NA,Recon break,Under Investigation,2026-06-10 09:30:00,USD,106000.0,5,106000.0,2044,361789,,2026-06-10
CENTRAL 1 CREDIT UNION,MTM discrepancy,Under Investigation,2026-06-10 09:30:00,USD,766000.0,8,766000.0,2743,376513,,2026-06-10
BIMCOR INC,Valuation dispute,Resolved,2026-07-01 09:30:00,USD,110000.0,3,110000.0,6935,357594,,2026-07-01
BANCO HABITAT,Recon break,Pending Review,2026-06-10 09:30:00,USD,25000.0,1,25000.0,1963,524870,,2026-06-10
