base_threshold_principal,base_threshold_counterparty,base_min_transfer_principal,base_min_transfer_counterparty,counterparty_rounding,principal_rounding,base_total_exposure_amount,action,agreed_amount,base_call_amount,booked_amount_first_leg,booked_amount_second_leg,call_status,counterparty_amount,reporting_call_amount,agreement_id,event_id,external_id,instrument_id,margin_type,reporting_currency,dispute_age,rescued_data,reporting_date
0.0,0.0,0.0,0.0,10000.0,10000.0,-100000.0,Recall,1400000.0,1400000.0,,,No Call Required,,1400000.0,11403,99772,7187,,Net,USD,0.0,,2026-06-10
0.0,250000.0,0.0,250000.0,10000.0,10000.0,0.0,Call,3000000.0,3000000.0,,,No Call Required,,3000000.0,10679,95635,7079,,Net,USD,0.0,,2026-06-10
0.0,0.0,0.0,250000.0,10000.0,10000.0,200000.0,Recall,3800000.0,3800000.0,,,Pending Review,,3800000.0,10638,98752,7152,,Net,USD,0.0,,2026-06-03
0.0,250000.0,0.0,250000.0,10000.0,10000.0,0.0,Call,2400000.0,2400000.0,,,Pending Review,,2400000.0,11297,96972,7193,,Net,USD,0.0,,2026-06-03
0.0,250000.0,0.0,0.0,10000.0,10000.0,300000.0,Recall,2900000.0,2900000.0,,,Pending Review,,2900000.0,10404,90300,7013,,Net,USD,0.0,,2026-06-17
0.0,0.0,0.0,250000.0,10000.0,10000.0,-100000.0,ITM No Calls,1600000.0,1600000.0,,,Pending Review,,1600000.0,11842,92948,7421,,Net,USD,,,2026-06-17
0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,Recall,4700000.0,4700000.0,,,No Call Required,,4700000.0,11986,90330,7604,,Net,USD,0.0,,2026-06-17
0.0,0.0,0.0,250000.0,10000.0,10000.0,-100000.0,Recall,1500000.0,1500000.0,,,No Call Required,,1500000.0,10838,90393,7909,,Net,USD,0.0,,2026-06-10
0.0,250000.0,0.0,0.0,10000.0,10000.0,500000.0,Recall,4800000.0,4800000.0,,,Pending Review,,4800000.0,10301,93792,7696,,Net,USD,0.0,,2026-06-03
0.0,0.0,0.0,250000.0,10000.0,10000.0,400000.0,Call,3400000.0,3400000.0,,,No Call Required,,3400000.0,11322,99861,7612,,Net,USD,0.0,,2026-06-17
0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,ITM No Calls,4700000.0,4700000.0,,,Pending Review,,4700000.0,10978,98159,7101,,Net,USD,0.0,,2026-06-03
0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,Recall,4900000.0,4900000.0,,,Pending Review,,4900000.0,11975,90052,7285,,Net,USD,0.0,,2026-06-17
0.0,0.0,0.0,0.0,10000.0,10000.0,300000.0,ITM No Calls,4200000.0,4200000.0,,,No Call Required,,4200000.0,10072,91060,7458,,Net,USD,0.0,,2026-06-17
0.0,0.0,0.0,0.0,10000.0,10000.0,100000.0,Call,400000.0,400000.0,,,No Call Required,,400000.0,11487,94302,7582,,Net,USD,0.0,,2026-06-03
0.0,250000.0,0.0,250000.0,10000.0,10000.0,-100000.0,Call,2100000.0,2100000.0,,,No Call Required,,2100000.0,11809,96865,7018,,Net,USD,0.0,,2026-06-24
0.0,250000.0,0.0,0.0,10000.0,10000.0,300000.0,Call,3400000.0,3400000.0,,,Pending Review,,3400000.0,11446,93461,7619,,Net,USD,0.0,,2026-06-10
0.0,250000.0,0.0,250000.0,10000.0,10000.0,200000.0,ITM No Calls,2900000.0,2900000.0,,,Pending Review,,2900000.0,10844,91336,7066,,Net,USD,0.0,,2026-06-10
0.0,0.0,0.0,250000.0,10000.0,10000.0,200000.0,Call,2500000.0,2500000.0,,,Pending Review,,2500000.0,10056,90068,7310,,Net,USD,0.0,,2026-06-24
0.0,250000.0,0.0,250000.0,10000.0,10000.0,400000.0,Call,2000000.0,2000000.0,,,Pending Review,,2000000.0,11564,93951,7601,,Net,USD,,,2026-06-17
0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,Call,500000.0,500000.0,,,Pending Review,,500000.0,11844,94693,7310,,Net,USD,0.0,,2026-07-01
0.0,0.0,0.0,250000.0,10000.0,10000.0,500000.0,Recall,4700000.0,4700000.0,,,Pending Review,,4700000.0,10817,93411,7507,,Net,USD,0.0,,2026-06-17
0.0,0.0,0.0,0.0,10000.0,10000.0,100000.0,ITM No Calls,4500000.0,4500000.0,,,Pending Review,,4500000.0,11230,96269,7559,,Net,USD,0.0,,2026-06-03
0.0,0.0,0.0,0.0,10000.0,10000.0,500000.0,ITM No Calls,2700000.0,2700000.0,,,No Call Required,,2700000.0,11793,94491,7643,,Net,USD,0.0,,2026-06-24
0.0,250000.0,0.0,250000.0,10000.0,10000.0,400000.0,ITM No Calls,200000.0,200000.0,,,No Call Required,,200000.0,11204,91240,7477,,Net,USD,0.0,,2026-06-03
0.0,0.0,0.0,250000.0,10000.0,10000.0,200000.0,Recall,4800000.0,4800000.0,,,Pending Review,,4800000.0,11730,99997,7336,,Net,USD,0.0,,2026-06-24
0.0,250000.0,0.0,250000.0,10000.0,10000.0,0.0,Recall,4800000.0,4800000.0,,,Pending Review,,4800000.0,10406,94073,7763,,Net,USD,0.0,,2026-06-17
0.0,250000.0,0.0,250000.0,10000.0,10000.0,0.0,Call,800000.0,800000.0,,,Pending Review,,800000.0,11593,99264,7558,,Net,USD,0.0,,2026-06-03
0.0,250000.0,0.0,250000.0,10000.0,10000.0,200000.0,Recall,3900000.0,3900000.0,,,Pending Review,,3900000.0,10406,94198,7072,,Net,USD,0.0,,2026-06-03
0.0,0.0,0.0,250000.0,10000.0,10000.0,300000.0,ITM No Calls,4800000.0,4800000.0,,,No Call Required,,4800000.0,10369,92016,7943,,Net,USD,0.0,,2026-06-24
0.0,0.0,0.0,250000.0,10000.0,10000.0,100000.0,Call,3900000.0,3900000.0,,,Pending Review,,3900000.0,10910,99373,7367,,Net,USD,0.0,,2026-06-03
0.0,0.0,0.0,250000.0,10000.0,10000.0,-200000.0,Recall,2800000.0,2800000.0,,,No Call Required,,2800000.0,11490,99106,7368,,Net,USD,0.0,,2026-06-10
0.0,250000.0,0.0,250000.0,10000.0,10000.0,400000.0,Recall,3000000.0,3000000.0,,,No Call Required,,3000000.0,10663,90125,7546,,Net,USD,0.0,,2026-06-24
0.0,250000.0,0.0,250000.0,10000.0,10000.0,100000.0,Call,600000.0,600000.0,,,Pending Review,,600000.0,11629,92344,7401,,Net,USD,0.0,,2026-06-24
0.0,250000.0,0.0,0.0,10000.0,10000.0,200000.0,ITM No Calls,2300000.0,2300000.0,,,Pending Review,,2300000.0,11746,97478,7333,,Net,USD,0.0,,2026-06-10
0.0,0.0,0.0,250000.0,10000.0,10000.0,500000.0,Call,0.0,0.0,,,No Call Required,,0.0,11970,90301,7867,,Net,USD,0.0,,2026-07-01
0.0,0.0,0.0,250000.0,10000.0,10000.0,-100000.0,ITM No Calls,2400000.0,2400000.0,,,No Call Required,,2400000.0,10783,96596,7959,,Net,USD,,,2026-06-24
0.0,250000.0,0.0,0.0,10000.0,10000.0,500000.0,Recall,4500000.0,4500000.0,,,Pending Review,,4500000.0,11785,90503,7121,,Net,USD,0.0,,2026-07-01
0.0,0.0,0.0,250000.0,10000.0,10000.0,200000.0,Call,3400000.0,3400000.0,,,No Call Required,,3400000.0,10278,93424,7144,,Net,USD,0.0,,2026-06-10
0.0,250000.0,0.0,0.0,10000.0,10000.0,100000.0,Recall,4300000.0,4300000.0,,,No Call Required,,4300000.0,11041,97731,7054,,Net,USD,0.0,,2026-06-03
0.0,250000.0,0.0,0.0,10000.0,10000.0,-100000.0,ITM No Calls,4900000.0,4900000.0,,,No Call Required,,4900000.0,10174,99156,7875,,Net,USD,0.0,,2026-07-01
0.0,250000.0,0.0,0.0,10000.0,10000.0,-100000.0,Call,2800000.0,2800000.0,,,Pending Review,,2800000.0,11035,93550,7824,,Net,USD,,,2026-06-24
0.0,0.0,0.0,0.0,10000.0,10000.0,300000.0,ITM No Calls,800000.0,800000.0,,,No Call Required,,800000.0,11153,95559,7312,,Net,USD,0.0,,2026-06-03
0.0,250000.0,0.0,0.0,10000.0,10000.0,-100000.0,Recall,3500000.0,3500000.0,,,No Call Required,,3500000.0,10966,96177,7305,,Net,USD,0.0,,2026-06-03
0.0,250000.0,0.0,250000.0,10000.0,10000.0,-100000.0,Call,4800000.0,4800000.0,,,No Call Required,,4800000.0,10429,90902,7538,,Net,USD,0.0,,2026-07-01
0.0,0.0,0.0,0.0,10000.0,10000.0,100000.0,Call,1000000.0,1000000.0,,,No Call Required,,1000000.0,11852,91936,7244,,Net,USD,0.0,,2026-06-17
0.0,250000.0,0.0,0.0,10000.0,10000.0,200000.0,Call,1500000.0,1500000.0,,,Pending Review,,1500000.0,10191,90354,7175,,Net,USD,0.0,,2026-06-03
0.0,0.0,0.0,0.0,10000.0,10000.0,100000.0,ITM No Calls,500000.0,500000.0,,,No Call Required,,500000.0,11853,90507,7951,,Net,USD,0.0,,2026-06-24
0.0,250000.0,0.0,250000.0,10000.0,10000.0,500000.0,Recall,300000.0,300000.0,,,No Call Required,,300000.0,10822,94267,7419,,Net,USD,,,2026-06-24
0.0,250000.0,0.0,0.0,10000.0,10000.0,100000.0,Call,200000.0,200000.0,,,Pending Review,,200000.0,11314,91373,7440,,Net,USD,0.0,,2026-06-03
0.0,250000.0,0.0,250000.0,10000.0,10000.0,300000.0,Recall,1600000.0,1600000.0,,,Pending Review,,1600000.0,10366,95616,7685,,Net,USD,0.0,,2026-06-24
0.0,0.0,0.0,0.0,10000.0,10000.0,100000.0,Recall,2900000.0,2900000.0,,,Pending Review,,2900000.0,11186,97432,7524,,Net,USD,,,2026-06-24
0.0,250000.0,0.0,250000.0,10000.0,10000.0,300000.0,Call,2200000.0,2200000.0,,,Pending Review,,2200000.0,10113,95901,7843,,Net,USD,0.0,,2026-06-10
0.0,0.0,0.0,250000.0,10000.0,10000.0,500000.0,Recall,2200000.0,2200000.0,,,Pending Review,,2200000.0,11359,98917,7812,,Net,USD,0.0,,2026-06-24
0.0,0.0,0.0,250000.0,10000.0,10000.0,400000.0,Call,3400000.0,3400000.0,,,No Call Required,,3400000.0,10592,95400,7921,,Net,USD,0.0,,2026-06-24
0.0,0.0,0.0,250000.0,10000.0,10000.0,300000.0,ITM No Calls,0.0,0.0,,,No Call Required,,0.0,11716,93859,7413,,Net,USD,0.0,,2026-06-03
0.0,250000.0,0.0,250000.0,10000.0,10000.0,500000.0,ITM No Calls,1900000.0,1900000.0,,,No Call Required,,1900000.0,10582,96163,7887,,Net,USD,0.0,,2026-06-17
0.0,0.0,0.0,250000.0,10000.0,10000.0,100000.0,Recall,2300000.0,2300000.0,,,No Call Required,,2300000.0,10718,99667,7197,,Net,USD,0.0,,2026-06-24
0.0,0.0,0.0,250000.0,10000.0,10000.0,100000.0,Recall,1800000.0,1800000.0,,,No Call Required,,1800000.0,11704,97647,7786,,Net,USD,0.0,,2026-07-01
0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,ITM No Calls,4900000.0,4900000.0,,,No Call Required,,4900000.0,10635,90422,7168,,Net,USD,0.0,,2026-06-03
0.0,250000.0,0.0,250000.0,10000.0,10000.0,200000.0,Call,4900000.0,4900000.0,,,Pending Review,,4900000.0,10962,92140,7064,,Net,USD,0.0,,2026-06-24
0.0,250000.0,0.0,0.0,10000.0,10000.0,-100000.0,ITM No Calls,3900000.0,3900000.0,,,Pending Review,,3900000.0,10647,91293,7617,,Net,USD,,,2026-06-17
0.0,0.0,0.0,250000.0,10000.0,10000.0,400000.0,ITM No Calls,3900000.0,3900000.0,,,Pending Review,,3900000.0,10541,91271,7595,,Net,USD,0.0,,2026-06-24
0.0,250000.0,0.0,0.0,10000.0,10000.0,0.0,ITM No Calls,1700000.0,1700000.0,,,Pending Review,,1700000.0,10831,98548,7765,,Net,USD,0.0,,2026-06-10
0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,ITM No Calls,1400000.0,1400000.0,,,No Call Required,,1400000.0,11445,99775,7141,,Net,USD,0.0,,2026-06-03
0.0,250000.0,0.0,0.0,10000.0,10000.0,-200000.0,ITM No Calls,3700000.0,3700000.0,,,No Call Required,,3700000.0,10046,94994,7198,,Net,USD,0.0,,2026-06-03
0.0,250000.0,0.0,0.0,10000.0,10000.0,100000.0,ITM No Calls,2400000.0,2400000.0,,,Pending Review,,2400000.0,10548,92669,7554,,Net,USD,0.0,,2026-06-17
0.0,0.0,0.0,0.0,10000.0,10000.0,400000.0,Recall,700000.0,700000.0,,,Pending Review,,700000.0,11252,94967,7989,,Net,USD,0.0,,2026-07-01
0.0,250000.0,0.0,250000.0,10000.0,10000.0,200000.0,Recall,1800000.0,1800000.0,,,Pending Review,,1800000.0,10084,97036,7384,,Net,USD,0.0,,2026-07-01
0.0,250000.0,0.0,250000.0,10000.0,10000.0,100000.0,Call,500000.0,500000.0,,,Pending Review,,500000.0,11159,91907,7116,,Net,USD,0.0,,2026-06-17
0.0,250000.0,0.0,250000.0,10000.0,10000.0,100000.0,Call,800000.0,800000.0,,,No Call Required,,800000.0,11222,98731,7134,,Net,USD,0.0,,2026-06-03
0.0,0.0,0.0,250000.0,10000.0,10000.0,100000.0,Call,800000.0,800000.0,,,No Call Required,,800000.0,11076,92733,7799,,Net,USD,0.0,,2026-06-10
0.0,0.0,0.0,250000.0,10000.0,10000.0,300000.0,ITM No Calls,4200000.0,4200000.0,,,No Call Required,,4200000.0,10904,98751,7509,,Net,USD,0.0,,2026-06-10
0.0,0.0,0.0,0.0,10000.0,10000.0,500000.0,Call,2300000.0,2300000.0,,,Pending Review,,2300000.0,11990,95728,7006,,Net,USD,0.0,,2026-06-17
0.0,250000.0,0.0,250000.0,10000.0,10000.0,300000.0,Recall,4500000.0,4500000.0,,,Pending Review,,4500000.0,10984,96973,7096,,Net,USD,0.0,,2026-07-01
0.0,0.0,0.0,250000.0,10000.0,10000.0,300000.0,ITM No Calls,3900000.0,3900000.0,,,Pending Review,,3900000.0,11450,99739,7705,,Net,USD,,,2026-06-17
0.0,0.0,0.0,0.0,10000.0,10000.0,-100000.0,ITM No Calls,500000.0,500000.0,,,No Call Required,,500000.0,11622,94664,7159,,Net,USD,,,2026-06-24
0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,Call,1300000.0,1300000.0,,,Pending Review,,1300000.0,10132,96322,7064,,Net,USD,0.0,,2026-06-24
0.0,250000.0,0.0,250000.0,10000.0,10000.0,-100000.0,Recall,900000.0,900000.0,,,Pending Review,,900000.0,10076,93456,7096,,Net,USD,0.0,,2026-06-10
0.0,250000.0,0.0,0.0,10000.0,10000.0,400000.0,Call,1700000.0,1700000.0,,,Pending Review,,1700000.0,10006,90321,7958,,Net,USD,0.0,,2026-06-03
0.0,0.0,0.0,0.0,10000.0,10000.0,-100000.0,Call,700000.0,700000.0,,,Pending Review,,700000.0,11533,94724,7492,,Net,USD,0.0,,2026-06-17
0.0,250000.0,0.0,0.0,10000.0,10000.0,500000.0,Call,5000000.0,5000000.0,,,Pending Review,,5000000.0,10763,96709,7841,,Net,USD,0.0,,2026-07-01
0.0,0.0,0.0,250000.0,10000.0,10000.0,400000.0,Recall,4500000.0,4500000.0,,,Pending Review,,4500000.0,10458,95354,7282,,Net,USD,0.0,,2026-06-17
0.0,250000.0,0.0,0.0,10000.0,10000.0,500000.0,Recall,4600000.0,4600000.0,,,Pending Review,,4600000.0,11705,96405,7112,,Net,USD,0.0,,2026-06-10
0.0,0.0,0.0,250000.0,10000.0,10000.0,200000.0,Recall,900000.0,900000.0,,,No Call Required,,900000.0,10995,95345,7512,,Net,USD,0.0,,2026-07-01
0.0,250000.0,0.0,250000.0,10000.0,10000.0,400000.0,Recall,4700000.0,4700000.0,,,Pending Review,,4700000.0,10531,94540,7834,,Net,USD,0.0,,2026-06-03
0.0,250000.0,0.0,250000.0,10000.0,10000.0,0.0,Call,3700000.0,3700000.0,,,Pending Review,,3700000.0,10689,96802,7744,,Net,USD,0.0,,2026-06-24
0.0,0.0,0.0,250000.0,10000.0,10000.0,200000.0,Call,3500000.0,3500000.0,,,Pending Review,,3500000.0,10497,96026,7925,,Net,USD,0.0,,2026-06-17
0.0,0.0,0.0,250000.0,10000.0,10000.0,200000.0,Call,2400000.0,2400000.0,,,No Call Required,,2400000.0,10234,98499,7801,,Net,USD,0.0,,2026-06-24
0.0,250000.0,0.0,250000.0,10000.0,10000.0,-100000.0,ITM No Calls,1900000.0,1900000.0,,,No Call Required,,1900000.0,11609,95596,7532,,Net,USD,0.0,,2026-06-17
0.0,0.0,0.0,0.0,10000.0,10000.0,500000.0,Call,4000000.0,4000000.0,,,No Call Required,,4000000.0,11971,91250,7848,,Net,USD,0.0,,2026-06-24
0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,Call,2900000.0,2900000.0,,,No Call Required,,2900000.0,11512,93593,7656,,Net,USD,0.0,,2026-06-10
0.0,250000.0,0.0,250000.0,10000.0,10000.0,300000.0,Recall,3300000.0,3300000.0,,,Pending Review,,3300000.0,10873,93525,7668,,Net,USD,0.0,,2026-06-24
0.0,250000.0,0.0,250000.0,10000.0,10000.0,0.0,Call,3400000.0,3400000.0,,,Pending Review,,3400000.0,10338,91157,7668,,Net,USD,0.0,,2026-06-10
0.0,0.0,0.0,0.0,10000.0,10000.0,500000.0,ITM No Calls,2600000.0,2600000.0,,,Pending Review,,2600000.0,11734,93281,7065,,Net,USD,0.0,,2026-06-17
0.0,250000.0,0.0,0.0,10000.0,10000.0,500000.0,Call,1000000.0,1000000.0,,,Pending Review,,1000000.0,11377,96469,7803,,Net,USD,0.0,,2026-07-01
0.0,250000.0,0.0,250000.0,10000.0,10000.0,500000.0,Recall,4000000.0,4000000.0,,,Pending Review,,4000000.0,10564,97808,7728,,Net,USD,0.0,,2026-06-03
0.0,0.0,0.0,0.0,10000.0,10000.0,100000.0,Recall,2300000.0,2300000.0,,,No Call Required,,2300000.0,10192,97064,7845,,Net,USD,0.0,,2026-06-24
0.0,0.0,0.0,250000.0,10000.0,10000.0,300000.0,ITM No Calls,4100000.0,4100000.0,,,No Call Required,,4100000.0,10726,99514,7927,,Net,USD,0.0,,2026-06-24
0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,Recall,2300000.0,2300000.0,,,Pending Review,,2300000.0,10807,97206,7886,,Net,USD,,,2026-06-10
0.0,0.0,0.0,250000.0,10000.0,10000.0,200000.0,Recall,2100000.0,2100000.0,,,No Call Required,,2100000.0,10239,93349,7933,,Net,USD,0.0,,2026-06-03
0.0,250000.0,0.0,0.0,10000.0,10000.0,-100000.0,Recall,1800000.0,1800000.0,,,No Call Required,,1800000.0,10791,94960,7502,,Net,USD,,,2026-07-01
0.0,0.0,0.0,250000.0,10000.0,10000.0,200000.0,Call,2400000.0,2400000.0,,,Pending Review,,2400000.0,11641,94100,7170,,Net,USD,0.0,,2026-06-17
0.0,0.0,0.0,250000.0,10000.0,10000.0,100000.0,Recall,3200000.0,3200000.0,,,No Call Required,,3200000.0,11938,99218,7244,,Net,USD,0.0,,2026-06-10
0.0,250000.0,0.0,0.0,10000.0,10000.0,-100000.0,ITM No Calls,3900000.0,3900000.0,,,No Call Required,,3900000.0,10922,96868,7195,,Net,USD,0.0,,2026-06-17
0.0,0.0,0.0,250000.0,10000.0,10000.0,100000.0,Call,3000000.0,3000000.0,,,Pending Review,,3000000.0,11475,90590,7405,,Net,USD,0.0,,2026-06-24
0.0,0.0,0.0,250000.0,10000.0,10000.0,500000.0,Recall,500000.0,500000.0,,,Pending Review,,500000.0,11194,90873,7626,,Net,USD,0.0,,2026-06-03
0.0,0.0,0.0,250000.0,10000.0,10000.0,100000.0,Call,2800000.0,2800000.0,,,No Call Required,,2800000.0,10884,98737,7380,,Net,USD,0.0,,2026-06-24
0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,ITM No Calls,300000.0,300000.0,,,Pending Review,,300000.0,11747,92082,7278,,Net,USD,0.0,,2026-06-24
0.0,250000.0,0.0,0.0,10000.0,10000.0,100000.0,Call,1200000.0,1200000.0,,,No Call Required,,1200000.0,11847,91714,7887,,Net,USD,0.0,,2026-06-24
0.0,250000.0,0.0,0.0,10000.0,10000.0,-100000.0,Recall,5000000.0,5000000.0,,,Pending Review,,5000000.0,11040,99669,7080,,Net,USD,0.0,,2026-06-17
0.0,250000.0,0.0,250000.0,10000.0,10000.0,-200000.0,Recall,800000.0,800000.0,,,No Call Required,,800000.0,11888,98525,7280,,Net,USD,0.0,,2026-06-17
0.0,0.0,0.0,0.0,10000.0,10000.0,-200000.0,Recall,4100000.0,4100000.0,,,Pending Review,,4100000.0,11874,93300,7904,,Net,USD,,,2026-06-03
0.0,0.0,0.0,250000.0,10000.0,10000.0,200000.0,ITM No Calls,3200000.0,3200000.0,,,Pending Review,,3200000.0,11239,94631,7474,,Net,USD,,,2026-06-17
0.0,0.0,0.0,0.0,10000.0,10000.0,500000.0,Call,4200000.0,4200000.0,,,Pending Review,,4200000.0,11230,93705,7504,,Net,USD,0.0,,2026-06-17
0.0,250000.0,0.0,250000.0,10000.0,10000.0,400000.0,ITM No Calls,2600000.0,2600000.0,,,No Call Required,,2600000.0,10843,94346,7895,,Net,USD,0.0,,2026-06-17
0.0,0.0,0.0,250000.0,10000.0,10000.0,500000.0,Call,2600000.0,2600000.0,,,No Call Required,,2600000.0,11056,97570,7669,,Net,USD,0.0,,2026-06-10
0.0,0.0,0.0,250000.0,10000.0,10000.0,500000.0,ITM No Calls,4300000.0,4300000.0,,,Pending Review,,4300000.0,11322,92538,7178,,Net,USD,,,2026-07-01
0.0,0.0,0.0,0.0,10000.0,10000.0,-100000.0,Recall,2200000.0,2200000.0,,,No Call Required,,2200000.0,11965,90766,7783,,Net,USD,0.0,,2026-06-17
0.0,250000.0,0.0,250000.0,10000.0,10000.0,-100000.0,Call,1800000.0,1800000.0,,,No Call Required,,1800000.0,10989,95720,7375,,Net,USD,0.0,,2026-06-17
0.0,0.0,0.0,0.0,10000.0,10000.0,300000.0,Call,4600000.0,4600000.0,,,No Call Required,,4600000.0,10390,94521,7365,,Net,USD,0.0,,2026-06-10
0.0,250000.0,0.0,250000.0,10000.0,10000.0,300000.0,ITM No Calls,3000000.0,3000000.0,,,No Call Required,,3000000.0,11893,91915,7324,,Net,USD,0.0,,2026-07-01
0.0,0.0,0.0,250000.0,10000.0,10000.0,100000.0,Recall,4600000.0,4600000.0,,,Pending Review,,4600000.0,10175,90089,7486,,Net,USD,0.0,,2026-06-17
0.0,250000.0,0.0,250000.0,10000.0,10000.0,200000.0,Recall,2600000.0,2600000.0,,,No Call Required,,2600000.0,11281,96121,7740,,Net,USD,0.0,,2026-06-10
0.0,250000.0,0.0,250000.0,10000.0,10000.0,400000.0,Call,2600000.0,2600000.0,,,No Call Required,,2600000.0,11431,94882,7133,,Net,USD,0.0,,2026-06-17
0.0,250000.0,0.0,0.0,10000.0,10000.0,-100000.0,Recall,0.0,0.0,,,Pending Review,,0.0,10557,94116,7311,,Net,USD,0.0,,2026-07-01
0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,Recall,4600000.0,4600000.0,,,Pending Review,,4600000.0,11598,97172,7020,,Net,USD,0.0,,2026-06-24
0.0,250000.0,0.0,250000.0,10000.0,10000.0,300000.0,Call,3000000.0,3000000.0,,,No Call Required,,3000000.0,10810,93956,7439,,Net,USD,0.0,,2026-06-24
0.0,250000.0,0.0,0.0,10000.0,10000.0,0.0,ITM No Calls,200000.0,200000.0,,,Pending Review,,200000.0,11648,98245,7764,,Net,USD,0.0,,2026-06-03
0.0,0.0,0.0,250000.0,10000.0,10000.0,200000.0,Recall,4800000.0,4800000.0,,,Pending Review,,4800000.0,11499,94112,7438,,Net,USD,0.0,,2026-07-01
0.0,250000.0,0.0,0.0,10000.0,10000.0,0.0,Recall,3600000.0,3600000.0,,,No Call Required,,3600000.0,11050,91689,7292,,Net,USD,0.0,,2026-06-10
0.0,250000.0,0.0,0.0,10000.0,10000.0,-200000.0,Recall,3000000.0,3000000.0,,,Pending Review,,3000000.0,10920,97335,7092,,Net,USD,0.0,,2026-06-17
0.0,250000.0,0.0,250000.0,10000.0,10000.0,500000.0,Recall,1100000.0,1100000.0,,,Pending Review,,1100000.0,10533,99348,7411,,Net,USD,0.0,,2026-06-24
0.0,250000.0,0.0,250000.0,10000.0,10000.0,-200000.0,Call,0.0,0.0,,,No Call Required,,0.0,10677,96921,7112,,Net,USD,0.0,,2026-06-24
0.0,0.0,0.0,0.0,10000.0,10000.0,400000.0,Recall,100000.0,100000.0,,,No Call Required,,100000.0,10738,93514,7605,,Net,USD,0.0,,2026-06-17
0.0,250000.0,0.0,0.0,10000.0,10000.0,400000.0,Recall,3200000.0,3200000.0,,,No Call Required,,3200000.0,10483,92957,7464,,Net,USD,0.0,,2026-06-24
0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,Recall,2400000.0,2400000.0,,,No Call Required,,2400000.0,10219,98030,7085,,Net,USD,0.0,,2026-06-10
