parent_id,petrid,org_lei,parent_lei,parent_name,internal_rating,internal_flag,rescued_data,reporting_date
QXHV,600446,,,SYNTH FUND QXHV,,Y,,2026-06-03
IDBE,600447,5493054734510723,5493099132460521,SYNTH FUND IDBE,3A,N,,2026-06-03
GYGJ,600448,5493036249739502,5493026652690326,SYNTH FUND GYGJ,1A,Y,,2026-06-03
QWZH,600449,5493080536987040,5493005884471055,SYNTH FUND QWZH,1A,Y,,2026-06-03
YUIB,600450,5493085168817847,5493053608629785,SYNTH FUND YUIB,2B,N,,2026-06-03
BKML,600451,5493078290015974,5493057237878584,SYNTH FUND BKML,,Y,,2026-06-03
YPVY,600452,5493059392127395,5493008613075787,SYNTH FUND YPVY,3A,N,,2026-06-03
GNCD,600453,5493036151619739,5493053032942972,SYNTH FUND GNCD,3A,Y,,2026-06-03
YVWP,600454,5493078057623023,5493064205366468,SYNTH FUND YVWP,2B,N,,2026-06-03
CKCM,600455,5493002566808965,5493091797584098,SYNTH FUND CKCM,,Y,,2026-06-03
WVKM,600456,5493064526405287,5493056703013805,SYNTH FUND WVKM,1B,Y,,2026-06-03
WHRN,600457,5493010179325985,5493038226682931,SYNTH FUND WHRN,2B,N,,2026-06-03
EIYZ,600458,5493002449662803,5493073648240638,SYNTH FUND EIYZ,1B,Y,,2026-06-03
IVVF,600459,5493032116986530,5493004848045907,SYNTH FUND IVVF,,N,,2026-06-03
YQHP,600460,,5493053505919162,SYNTH FUND YQHP,1A,N,,2026-06-03
UKDO,600461,5493034534326983,5493055312469666,SYNTH FUND UKDO,1A,Y,,2026-06-03
USUP,600462,5493085836501036,5493071536052510,SYNTH FUND USUP,1A,N,,2026-06-03
WRPZ,600463,5493047199313923,5493027619238467,SYNTH FUND WRPZ,2A,N,,2026-06-03
OIIY,600464,5493031857045731,,SYNTH FUND OIIY,3A,N,,2026-06-03
LVUN,600465,5493086813603807,5493023998939514,SYNTH FUND LVUN,2A,N,,2026-06-03
TDQW,600466,5493089199833395,5493060428119417,SYNTH FUND TDQW,,N,,2026-06-03
XMYN,600467,5493032112903791,5493070301480123,SYNTH FUND XMYN,,N,,2026-06-03
XPVW,600468,5493003363703476,5493073109091524,SYNTH FUND XPVW,3A,Y,,2026-06-03
PACI,600469,5493021905827638,5493087945803764,SYNTH FUND PACI,2A,N,,2026-06-03
TIFQ,600470,5493094999423451,5493072415498957,SYNTH FUND TIFQ,2A,N,,2026-06-03
BEQC,600471,5493026892314626,5493088608166050,SYNTH FUND BEQC,1A,Y,,2026-06-03
UPPK,600472,5493024151272337,5493073962852195,SYNTH FUND UPPK,3A,Y,,2026-06-03
FFSW,600473,5493035834850884,5493020991850422,SYNTH FUND FFSW,3A,N,,2026-06-03
ZWTC,600474,5493017397789029,5493026445798146,SYNTH FUND ZWTC,,Y,,2026-06-03
LIDK,600475,5493001272276076,5493090684297360,SYNTH FUND LIDK,3A,Y,,2026-06-03
BTUE,600476,5493026934371148,5493074445287656,SYNTH FUND BTUE,2B,Y,,2026-06-03
QGGV,600477,5493072187373213,5493084831688239,SYNTH FUND QGGV,1B,Y,,2026-06-03
QYVK,600478,5493092275086848,5493059437451171,SYNTH FUND QYVK,3A,N,,2026-06-03
