principal_agreement_level_ia,counterparty_agreement_level_ia,base_threshold_principal,base_threshold_principal_im,base_threshold_counterparty,base_threshold_counterparty_im,base_min_transfer_principal,base_min_transfer_principal_im,base_min_transfer_counterparty,base_min_transfer_counterparty_im,base_principal_i_a,base_counterparty_external_ia,base_counterparty_i_a,counterparty_rounding,principal_rounding,itm_exposure,otm_exposure,base_total_exposure_amount,action,agreed_amount,base_call_amount,booked_amount_first_leg,booked_amount_second_leg,call_status,counterparty_amount,reporting_call_amount,model,agreement_id,event_id,external_id,instrument_id,margin_type,reporting_currency,counterparty_im_rounding,principal_im_rounding,im_requirement,event_date,counterparty,agreement_description,rescued_data,reporting_date
,,,,500000.0,,,,10000.0,,,,,,,,,-100000.0,Recall,4400000.0,4400000.0,,,Margin Request Issued,,4400000.0,,1108,354276,0978,,Net,USD,,,,2026-06-17 00:00:00,SWISS LIFE AG,TDBK_SWCD_REG_IMC_CSA,,2026-06-17
,,,,250000.0,,,,250000.0,,,,,,,,,-300000.0,Recall,-200000.0,-200000.0,,,Pending Review,,-200000.0,,6497,345817,4982,,Net,USD,,,,2026-06-24 00:00:00,BANK OF NOVA SCOTIA,TDBK_BNSC_REG_VM_CSA,,2026-06-24
,,,,75000.0,,,,250000.0,,,,,,,,,-100000.0,Recall,2700000.0,2700000.0,,,No Call Required,,2700000.0,,8479,380999,0208,,Net,USD,,,,2026-06-24 00:00:00,SWISS LIFE AG,TDBK_SWCD_GENERAL_CSA,,2026-06-24
,,,,500000.0,,,,250000.0,,,,,,,,,-300000.0,No Call,2900000.0,2900000.0,,,Agreed,,2900000.0,,6288,342736,2415,,Net,USD,,,,2026-06-03 00:00:00,BANK OF NOVA SCOTIA,TDBK_BNSC_REG_IMC_CSA,,2026-06-03
,,,,250000.0,,,,10000.0,,,,,,,,,200000.0,Call,5100000.0,5100000.0,,,Margin Request Issued,,5100000.0,,9652,397680,0578,,Net,USD,,,,2026-07-01 00:00:00,CITIBANK NA,TDBK_CITI_GENERAL_CSA,,2026-07-01
,,,,250000.0,,,,250000.0,,,,,,,,,100000.0,Call,1200000.0,1200000.0,,,Agreed,,1200000.0,,2576,394381,8366,,Net,USD,,,,2026-06-10 00:00:00,SWISS LIFE AG,TDBK_SWCD_REG_VM_CSA,,2026-06-10
,,,,500000.0,,,,250000.0,,,,,,,,,100000.0,No Call,-400000.0,-400000.0,,,No Call Required,,-400000.0,,8508,371786,8355,,Net,USD,,,,2026-06-10 00:00:00,INVESTEC BANK LIMITED,TDBK_INBL_GENERAL_CSA,,2026-06-10
,,,,500000.0,,,,10000.0,,,,,,,,,-100000.0,Delivery(Excess),5800000.0,5800000.0,,,No Call Required,,5800000.0,,4609,343690,0139,,Net,USD,,,,2026-06-24 00:00:00,MORGAN STANLEY INTL,TDBK_MSIL_GENERAL_CSA,,2026-06-24
,,,,250000.0,,,,250000.0,,,,,,,,,-200000.0,Recall,8000000.0,8000000.0,,,Margin Request Issued,,8000000.0,,5519,348902,0218,,Net,USD,,,,2026-06-03 00:00:00,CITIBANK NA,TDBK_CITI_REG_VM_CSA,,2026-06-03
,,,,75000.0,,,,250000.0,,,,,,,,,-100000.0,Call,4500000.0,4500000.0,,,Pending Review,,4500000.0,,1395,387414,4645,,Net,USD,,,,2026-06-10 00:00:00,SWISS LIFE AG,TDBK_SWCD_REG_VM_CSA,,2026-06-10
,,,,0.0,,,,250000.0,,,,,,,,,200000.0,Recall,3100000.0,3100000.0,,,Agreed,,3100000.0,,7998,373233,5824,,Net,USD,,,,2026-06-03 00:00:00,INVESTEC BANK LIMITED,TDBK_INBL_REG_VM_CSA,,2026-06-03
,,,,500000.0,,,,250000.0,,,,,,,,,0.0,Call,7200000.0,7200000.0,,,Margin Request Issued,,7200000.0,,3535,396157,9952,,Net,USD,,,,2026-06-17 00:00:00,MORGAN STANLEY INTL,TDBK_MSIL_GENERAL_CSA,,2026-06-17
,,,,500000.0,,,,250000.0,,,,,,,,,300000.0,Recall,6900000.0,6900000.0,,,Pending Review,,6900000.0,,4520,360497,6899,,Net,USD,,,,2026-06-24 00:00:00,BIMCOR INC,TDBK_BIMC_REG_IMC_CSA,,2026-06-24
,,,,500000.0,,,,10000.0,,,,,,,,,0.0,Call(Deficit),2000000.0,2000000.0,,,Margin Request Issued,,2000000.0,,1312,358121,1253,,Net,USD,,,,2026-06-10 00:00:00,WELLINGTON GLOBAL EQUITY FUND 28R5,TDBK_WH17_GENERAL_CSA,,2026-06-10
,,,,75000.0,,,,250000.0,,,,,,,,,-100000.0,No Call,2800000.0,2800000.0,,,Agreed,,2800000.0,,7906,350612,8261,,Net,USD,,,,2026-06-10 00:00:00,SWISS LIFE AG,TDBK_SWCD_REG_IMC_CSA,,2026-06-10
,,,,0.0,,,,10000.0,,,,,,,,,0.0,Call,7100000.0,7100000.0,,,Pending Review,,7100000.0,,4750,383788,2712,,Net,USD,,,,2026-06-17 00:00:00,WELLINGTON GLOBAL EQUITY FUND 28R5,TDBK_WH17_REG_VM_CSA,,2026-06-17
,,,,0.0,,,,250000.0,,,,,,,,,200000.0,No Call,800000.0,800000.0,,,Agreed,,800000.0,,1886,395605,7686,,Net,USD,,,,2026-06-24 00:00:00,MORGAN STANLEY INTL,TDBK_MSIL_REG_VM_CSA,,2026-06-24
,,,,75000.0,,,,250000.0,,,,,,,,,-100000.0,No Call,5900000.0,5900000.0,,,No Call Required,,5900000.0,,4110,389097,0144,,Net,USD,,,,2026-06-24 00:00:00,DEUTSCHE BANK A.G.,TDBK_DBFR_GENERAL_CSA,,2026-06-24
,,,,0.0,,,,10000.0,,,,,,,,,-200000.0,Delivery(Excess),6600000.0,6600000.0,,,No Call Required,,6600000.0,,4958,370784,0195,,Net,USD,,,,2026-06-17 00:00:00,CENTRAL 1 CREDIT UNION,TDBK_BCCU_REG_VM_CSA,,2026-06-17
,,,,250000.0,,,,10000.0,,,,,,,,,-300000.0,Call(Deficit),-100000.0,-100000.0,,,Agreed,,-100000.0,,2414,389347,0232,,Net,USD,,,,2026-06-17 00:00:00,BIMCOR INC,TDBK_BIMC_REG_IMC_CSA,,2026-06-17
,,,,75000.0,,,,250000.0,,,,,,,,,-100000.0,Call,6500000.0,6500000.0,,,No Call Required,,6500000.0,,2107,343476,A4380,,Net,USD,,,,2026-06-10 00:00:00,CITIBANK NA,TDBK_CITI_GENERAL_CSA,,2026-06-10
,,,,500000.0,,,,10000.0,,,,,,,,,200000.0,Recall,2000000.0,2000000.0,,,Agreed,,2000000.0,,7338,370284,A681,,Net,USD,,,,2026-06-03 00:00:00,BIMCOR INC,TDBK_BIMC_REG_IMC_CSA,,2026-06-03
,,,,0.0,,,,10000.0,,,,,,,,,100000.0,Call,6800000.0,6800000.0,,,No Call Required,,6800000.0,,2520,388934,3459,,Net,USD,,,,2026-06-17 00:00:00,BANK OF NOVA SCOTIA,TDBK_BNSC_REG_IMC_CSA,,2026-06-17
,,,,0.0,,,,10000.0,,,,,,,,,300000.0,Call(Deficit),800000.0,800000.0,,,Margin Request Issued,,800000.0,,3103,388857,0212,,Net,USD,,,,2026-06-10 00:00:00,BIMCOR INC,TDBK_BIMC_REG_VM_CSA,,2026-06-10
,,,,75000.0,,,,10000.0,,,,,,,,,0.0,Call,3700000.0,3700000.0,,,Pending Review,,3700000.0,,7858,351296,2008,,Net,USD,,,,2026-06-17 00:00:00,CENTRAL 1 CREDIT UNION,TDBK_BCCU_REG_VM_CSA,,2026-06-17
,,,,250000.0,,,,250000.0,,,,,,,,,100000.0,Delivery(Excess),4200000.0,4200000.0,,,Margin Request Issued,,4200000.0,,9482,386211,0828,,Net,USD,,,,2026-06-17 00:00:00,DEUTSCHE BANK A.G.,TDBK_DBFR_REG_IMC_CSA,,2026-06-17
,,,,500000.0,,,,10000.0,,,,,,,,,-300000.0,Recall,400000.0,400000.0,,,Pending Review,,400000.0,,3221,385610,8837,,Net,USD,,,,2026-06-10 00:00:00,INVESTEC BANK LIMITED,TDBK_INBL_GENERAL_CSA,,2026-06-10
,,,,500000.0,,,,10000.0,,,,,,,,,-300000.0,No Call,5000000.0,5000000.0,,,Margin Request Issued,,5000000.0,,1961,370341,0884,,Net,USD,,,,2026-06-03 00:00:00,MORGAN STANLEY INTL,TDBK_MSIL_GENERAL_CSA,,2026-06-03
,,,,75000.0,,,,10000.0,,,,,,,,,0.0,Call,3500000.0,3500000.0,,,Margin Request Issued,,3500000.0,,6876,382942,0122,,Net,USD,,,,2026-06-17 00:00:00,BANCO HABITAT,TDBK_BANH_GENERAL_CSA,,2026-06-17
,,,,250000.0,,,,10000.0,,,,,,,,,-100000.0,Call(Deficit),-200000.0,-200000.0,,,No Call Required,,-200000.0,,9674,394505,8850,,Net,USD,,,,2026-06-17 00:00:00,WELLINGTON GLOBAL EQUITY FUND 28R5,TDBK_WH17_GENERAL_CSA,,2026-06-17
,,,,75000.0,,,,250000.0,,,,,,,,,200000.0,Call,6600000.0,6600000.0,,,Pending Review,,6600000.0,,1665,377670,9216,,Net,USD,,,,2026-06-24 00:00:00,INVESTEC BANK LIMITED,TDBK_INBL_REG_VM_CSA,,2026-06-24
,,,,250000.0,,,,10000.0,,,,,,,,,0.0,Delivery(Excess),1600000.0,1600000.0,,,Margin Request Issued,,1600000.0,,7831,364794,3548,,Net,USD,,,,2026-07-01 00:00:00,BANK OF NOVA SCOTIA,TDBK_BNSC_REG_VM_CSA,,2026-07-01
,,,,75000.0,,,,250000.0,,,,,,,,,-100000.0,Call,1900000.0,1900000.0,,,Margin Request Issued,,1900000.0,,3268,382124,9217,,Net,USD,,,,2026-06-03 00:00:00,MORGAN STANLEY INTL,TDBK_MSIL_GENERAL_CSA,,2026-06-03
,,,,250000.0,,,,10000.0,,,,,,,,,300000.0,Recall,3900000.0,3900000.0,,,Agreed,,3900000.0,,6599,380053,0140,,Net,USD,,,,2026-07-01 00:00:00,BANK OF NOVA SCOTIA,TDBK_BNSC_REG_IMC_CSA,,2026-07-01
,,,,500000.0,,,,10000.0,,,,,,,,,0.0,Delivery(Excess),5900000.0,5900000.0,,,Margin Request Issued,,5900000.0,,1568,381756,9076,,Net,USD,,,,2026-07-01 00:00:00,DEUTSCHE BANK A.G.,TDBK_DBFR_GENERAL_CSA,,2026-07-01
,,,,250000.0,,,,10000.0,,,,,,,,,100000.0,Call,6200000.0,6200000.0,,,Agreed,,6200000.0,,3675,388920,A6918,,Net,USD,,,,2026-06-03 00:00:00,DEUTSCHE BANK A.G.,TDBK_DBFR_REG_VM_CSA,,2026-06-03
,,,,75000.0,,,,10000.0,,,,,,,,,100000.0,Call(Deficit),7700000.0,7700000.0,,,Pending Review,,7700000.0,,8390,385997,1937,,Net,USD,,,,2026-06-17 00:00:00,CITIBANK NA,TDBK_CITI_REG_IMC_CSA,,2026-06-17
,,,,500000.0,,,,250000.0,,,,,,,,,300000.0,Call(Deficit),-300000.0,-300000.0,,,No Call Required,,-300000.0,,6755,352338,6899,,Net,USD,,,,2026-06-10 00:00:00,BIMCOR INC,TDBK_BIMC_REG_IMC_CSA,,2026-06-10
,,,,75000.0,,,,10000.0,,,,,,,,,100000.0,Delivery(Excess),3300000.0,3300000.0,,,Agreed,,3300000.0,,4541,395152,0504,,Net,USD,,,,2026-06-10 00:00:00,BIMCOR INC,TDBK_BIMC_REG_VM_CSA,,2026-06-10
,,,,0.0,,,,250000.0,,,,,,,,,200000.0,Delivery(Excess),-500000.0,-500000.0,,,Pending Review,,-500000.0,,7609,348880,K8471,,Net,USD,,,,2026-06-10 00:00:00,WELLINGTON GLOBAL EQUITY FUND 28R5,TDBK_WH17_REG_VM_CSA,,2026-06-10
,,,,500000.0,,,,10000.0,,,,,,,,,0.0,Recall,3000000.0,3000000.0,,,No Call Required,,3000000.0,,4014,343645,K5413,,Net,USD,,,,2026-06-17 00:00:00,BANCO HABITAT,TDBK_BANH_GENERAL_CSA,,2026-06-17
,,,,250000.0,,,,10000.0,,,,,,,,,-200000.0,Recall,700000.0,700000.0,,,No Call Required,,700000.0,,8142,375050,K5011,,Net,USD,,,,2026-07-01 00:00:00,CENTRAL 1 CREDIT UNION,TDBK_BCCU_REG_IMC_CSA,,2026-07-01
,,,,500000.0,,,,10000.0,,,,,,,,,100000.0,Delivery(Excess),2100000.0,2100000.0,,,Margin Request Issued,,2100000.0,,9491,399140,0131,,Net,USD,,,,2026-06-10 00:00:00,BANK OF NOVA SCOTIA,TDBK_BNSC_GENERAL_CSA,,2026-06-10
,,,,0.0,,,,250000.0,,,,,,,,,0.0,Call,6600000.0,6600000.0,,,No Call Required,,6600000.0,,5005,391311,A4217,,Net,USD,,,,2026-06-17 00:00:00,DEUTSCHE BANK A.G.,TDBK_DBFR_REG_IMC_CSA,,2026-06-17
,,,,250000.0,,,,250000.0,,,,,,,,,-200000.0,Call(Deficit),3100000.0,3100000.0,,,Margin Request Issued,,3100000.0,,5808,393688,5308,,Net,USD,,,,2026-06-17 00:00:00,BIMCOR INC,TDBK_BIMC_REG_IMC_CSA,,2026-06-17
,,,,250000.0,,,,250000.0,,,,,,,,,300000.0,Delivery(Excess),1100000.0,1100000.0,,,Agreed,,1100000.0,,3763,365406,0828,,Net,USD,,,,2026-07-01 00:00:00,CITIBANK NA,TDBK_CITI_GENERAL_CSA,,2026-07-01
,,,,250000.0,,,,10000.0,,,,,,,,,-100000.0,Call,-400000.0,-400000.0,,,No Call Required,,-400000.0,,7613,362637,A6239,,Net,USD,,,,2026-07-01 00:00:00,DEUTSCHE BANK A.G.,TDBK_DBFR_REG_IMC_CSA,,2026-07-01
,,,,500000.0,,,,250000.0,,,,,,,,,0.0,No Call,2900000.0,2900000.0,,,Pending Review,,2900000.0,,2635,363979,3583,,Net,USD,,,,2026-07-01 00:00:00,BANCO HABITAT,TDBK_BANH_REG_IMC_CSA,,2026-07-01
,,,,0.0,,,,10000.0,,,,,,,,,-300000.0,Call(Deficit),6000000.0,6000000.0,,,Agreed,,6000000.0,,6957,397284,K3475,,Net,USD,,,,2026-06-03 00:00:00,CITIBANK NA,TRI-PARTY COLLATERAL AGENT HOLDING,,2026-06-03
,,,,0.0,,,,250000.0,,,,,,,,,200000.0,Call,300000.0,300000.0,,,Agreed,,300000.0,,1551,376851,K713,,Net,USD,,,,2026-06-10 00:00:00,MORGAN STANLEY INTL,TDBK_MSIL_GENERAL_CSA,,2026-06-10
,,,,75000.0,,,,10000.0,,,,,,,,,-100000.0,Call,5500000.0,5500000.0,,,Pending Review,,5500000.0,,9063,390145,7489,,Net,USD,,,,2026-06-10 00:00:00,BANK OF NOVA SCOTIA,TDBK_BNSC_GENERAL_CSA,,2026-06-10
,,,,250000.0,,,,10000.0,,,,,,,,,300000.0,No Call,5000000.0,5000000.0,,,No Call Required,,5000000.0,,6517,397245,5768,,Net,USD,,,,2026-07-01 00:00:00,DEUTSCHE BANK A.G.,TDBK_DBFR_REG_IMC_CSA,,2026-07-01
,,,,250000.0,,,,10000.0,,,,,,,,,0.0,Call,4100000.0,4100000.0,,,Agreed,,4100000.0,,8325,345616,K6300,,Net,USD,,,,2026-07-01 00:00:00,DEUTSCHE BANK A.G.,TDBK_DBFR_REG_VM_CSA,,2026-07-01
,,,,75000.0,,,,10000.0,,,,,,,,,200000.0,Recall,4100000.0,4100000.0,,,Agreed,,4100000.0,,5279,363856,0817,,Net,USD,,,,2026-06-17 00:00:00,DEUTSCHE BANK A.G.,TDBK_DBFR_REG_VM_CSA,,2026-06-17
,,,,250000.0,,,,10000.0,,,,,,,,,100000.0,No Call,2200000.0,2200000.0,,,No Call Required,,2200000.0,,7711,399052,K5011,,Net,USD,,,,2026-06-03 00:00:00,CENTRAL 1 CREDIT UNION,TDBK_BCCU_REG_IMC_CSA,,2026-06-03
,,,,75000.0,,,,10000.0,,,,,,,,,-300000.0,No Call,6600000.0,6600000.0,,,No Call Required,,6600000.0,,9667,362281,3976,,Net,USD,,,,2026-06-03 00:00:00,BANK OF NOVA SCOTIA,TDBK_BNSC_REG_VM_CSA,,2026-06-03
,,,,0.0,,,,250000.0,,,,,,,,,-100000.0,Call,7800000.0,7800000.0,,,No Call Required,,7800000.0,,3416,343835,2937,,Net,USD,,,,2026-06-24 00:00:00,CITIBANK NA,TDBK_CITI_GENERAL_CSA,,2026-06-24
,,,,250000.0,,,,10000.0,,,,,,,,,-100000.0,Delivery(Excess),100000.0,100000.0,,,Pending Review,,100000.0,,3181,369967,0726,,Net,USD,,,,2026-06-24 00:00:00,INVESTEC BANK LIMITED,TDBK_INBL_GENERAL_CSA,,2026-06-24
,,,,0.0,,,,250000.0,,,,,,,,,-100000.0,No Call,1000000.0,1000000.0,,,Margin Request Issued,,1000000.0,,4517,361089,8185,,Net,USD,,,,2026-07-01 00:00:00,MORGAN STANLEY INTL,TDBK_MSIL_GENERAL_CSA,,2026-07-01
,,,,250000.0,,,,10000.0,,,,,,,,,-200000.0,Call,7300000.0,7300000.0,,,Margin Request Issued,,7300000.0,,5060,383507,0885,,Net,USD,,,,2026-06-17 00:00:00,INVESTEC BANK LIMITED,TDBK_INBL_REG_IMC_CSA,,2026-06-17
,,,,75000.0,,,,250000.0,,,,,,,,,-200000.0,Recall,2800000.0,2800000.0,,,No Call Required,,2800000.0,,3567,347337,0242,,Net,USD,,,,2026-06-03 00:00:00,CITIBANK NA,TDBK_CITI_GENERAL_CSA,,2026-06-03
,,,,500000.0,,,,250000.0,,,,,,,,,-300000.0,Call,4500000.0,4500000.0,,,Margin Request Issued,,4500000.0,,2386,377493,7087,,Net,USD,,,,2026-07-01 00:00:00,SWISS LIFE AG,TDBK_SWCD_REG_IMC_CSA,,2026-07-01
,,,,500000.0,,,,10000.0,,,,,,,,,100000.0,Recall,7600000.0,7600000.0,,,Pending Review,,7600000.0,,8345,375960,0237,,Net,USD,,,,2026-06-17 00:00:00,BANCO HABITAT,TDBK_BANH_GENERAL_CSA,,2026-06-17
,,,,250000.0,,,,10000.0,,,,,,,,,-100000.0,Delivery(Excess),-500000.0,-500000.0,,,Agreed,,-500000.0,,1307,351052,0860,,Net,USD,,,,2026-06-03 00:00:00,BIMCOR INC,TDBK_BIMC_REG_IMC_CSA,,2026-06-03
,,,,500000.0,,,,250000.0,,,,,,,,,0.0,Call(Deficit),2000000.0,2000000.0,,,Pending Review,,2000000.0,,4646,385257,0958,,Net,USD,,,,2026-06-10 00:00:00,WELLINGTON GLOBAL EQUITY FUND 28R5,TDBK_WH17_GENERAL_CSA,,2026-06-10
,,,,75000.0,,,,10000.0,,,,,,,,,-100000.0,Recall,2800000.0,2800000.0,,,Margin Request Issued,,2800000.0,,6023,369830,6999,,Net,USD,,,,2026-06-24 00:00:00,INVESTEC BANK LIMITED,TDBK_INBL_GENERAL_CSA,,2026-06-24
,,,,500000.0,,,,250000.0,,,,,,,,,-200000.0,Recall,4700000.0,4700000.0,,,No Call Required,,4700000.0,,2332,361869,9133,,Net,USD,,,,2026-06-24 00:00:00,BIMCOR INC,TDBK_BIMC_REG_VM_CSA,,2026-06-24
,,,,75000.0,,,,250000.0,,,,,,,,,-100000.0,Call,2600000.0,2600000.0,,,Pending Review,,2600000.0,,2243,360800,3467,,Net,USD,,,,2026-06-17 00:00:00,WELLINGTON GLOBAL EQUITY FUND 28R5,,,2026-06-17
,,,,75000.0,,,,250000.0,,,,,,,,,-200000.0,Call(Deficit),3900000.0,3900000.0,,,Margin Request Issued,,3900000.0,,9477,373040,0422,,Net,USD,,,,2026-06-17 00:00:00,BANK OF NOVA SCOTIA,TDBK_BNSC_REG_VM_CSA,,2026-06-17
,,,,500000.0,,,,250000.0,,,,,,,,,100000.0,Call(Deficit),5600000.0,5600000.0,,,No Call Required,,5600000.0,,3155,347638,0937,,Net,USD,,,,2026-06-17 00:00:00,BANK OF NOVA SCOTIA,TDBK_BNSC_REG_IMC_CSA,,2026-06-17
,,,,75000.0,,,,250000.0,,,,,,,,,200000.0,Delivery(Excess),200000.0,200000.0,,,Pending Review,,200000.0,,5611,379112,K3528,,Net,USD,,,,2026-06-10 00:00:00,INVESTEC BANK LIMITED,TDBK_INBL_REG_IMC_CSA,,2026-06-10
,,,,75000.0,,,,10000.0,,,,,,,,,-300000.0,Call(Deficit),5400000.0,5400000.0,,,No Call Required,,5400000.0,,8208,371781,9699,,Net,USD,,,,2026-07-01 00:00:00,MORGAN STANLEY INTL,,,2026-07-01
,,,,0.0,,,,10000.0,,,,,,,,,-300000.0,Call(Deficit),3000000.0,3000000.0,,,Pending Review,,3000000.0,,4267,382917,7847,,Net,USD,,,,2026-06-10 00:00:00,CITIBANK NA,TDBK_CITI_GENERAL_CSA,,2026-06-10
,,,,0.0,,,,10000.0,,,,,,,,,-300000.0,Delivery(Excess),1700000.0,1700000.0,,,Pending Review,,1700000.0,,6092,383930,A5660,,Net,USD,,,,2026-06-17 00:00:00,BIMCOR INC,TDBK_BIMC_GENERAL_CSA,,2026-06-17
,,,,250000.0,,,,10000.0,,,,,,,,,300000.0,Recall,5000000.0,5000000.0,,,No Call Required,,5000000.0,,3145,390710,3102,,Net,USD,,,,2026-06-17 00:00:00,BANK OF NOVA SCOTIA,TDBK_BNSC_GENERAL_CSA,,2026-06-17
,,,,75000.0,,,,10000.0,,,,,,,,,-100000.0,No Call,1900000.0,1900000.0,,,Margin Request Issued,,1900000.0,,9791,384125,7567,,Net,USD,,,,2026-06-24 00:00:00,BANCO HABITAT,TDBK_BANH_GENERAL_CSA,,2026-06-24
,,,,250000.0,,,,250000.0,,,,,,,,,-300000.0,Delivery(Excess),7700000.0,7700000.0,,,Agreed,,7700000.0,,9967,348870,8996,,Net,USD,,,,2026-07-01 00:00:00,MORGAN STANLEY INTL,TDBK_MSIL_REG_VM_CSA,,2026-07-01
,,,,500000.0,,,,250000.0,,,,,,,,,-100000.0,Call,900000.0,900000.0,,,Margin Request Issued,,900000.0,,6839,379976,3442,,Net,USD,,,,2026-06-03 00:00:00,CITIBANK NA,TDBK_CITI_GENERAL_CSA,,2026-06-03
,,,,0.0,,,,250000.0,,,,,,,,,300000.0,No Call,8000000.0,8000000.0,,,No Call Required,,8000000.0,,1007,346666,0589,,Net,USD,,,,2026-06-24 00:00:00,SWISS LIFE AG,TDBK_SWCD_GENERAL_CSA,,2026-06-24
,,,,0.0,,,,250000.0,,,,,,,,,200000.0,Recall,2000000.0,2000000.0,,,No Call Required,,2000000.0,,6035,350761,K2477,,Net,USD,,,,2026-06-17 00:00:00,INVESTEC BANK LIMITED,TDBK_INBL_REG_VM_CSA,,2026-06-17
,,,,500000.0,,,,250000.0,,,,,,,,,-200000.0,Delivery(Excess),1100000.0,1100000.0,,,Agreed,,1100000.0,,4824,342008,3653,,Net,USD,,,,2026-06-10 00:00:00,DEUTSCHE BANK A.G.,TDBK_DBFR_GENERAL_CSA,,2026-06-10
,,,,0.0,,,,10000.0,,,,,,,,,100000.0,No Call,4400000.0,4400000.0,,,No Call Required,,4400000.0,,2633,347591,2660,,Net,USD,,,,2026-06-03 00:00:00,CITIBANK NA,TDBK_CITI_GENERAL_CSA,,2026-06-03
