external_id,principal_lei,principal,principal_code,counterparty,counterparty_code,counterparty_lei,principal_rating,counterparty_rating,agreement_category,groupname,base_currency,im_legal_review_frequency,legal_review_frequency,reciprocity,counterparty_fixed_mta_values,counterparty_fixed_mta_value_ccy,counterparty_im_fixed_mta_values,counterparty_im_fixed_mta_value_ccy,counterparty_fixed_rounding_values,counterparty_fixed_rounding_value_ccy,counterparty_fixed_threshold_value_ccy,counterparty_fixed_threshold_values,counterparty_fixed_values,counterparty_im,counterparty_im_fixed_rounding_value_ccy,counterparty_im_fixed_rounding_values,counterparty_im_fixed_threshold_value_ccy,counterparty_im_fixed_threshold_values,counterparty_im_fixed_values,counterparty_im_rating_contingent_values,counterparty_im_seg_type,principal_fixed_mta_value_ccy,principal_fixed_mta_values,principal_fixed_rounding_value_ccy,principal_fixed_rounding_values,principal_fixed_threshold_value_ccy,principal_fixed_threshold_values,principal_fixed_values,principal_im,principal_im_fixed_mta_value_ccy,principal_im_fixed_mta_values,principal_im_fixed_rounding_value_ccy,principal_im_fixed_rounding_values,principal_im_fixed_threshold_value_ccy,principal_im_fixed_threshold_values,principal_im_fixed_values,principal_im_rating_contingent_values,principal_im_seg_type,principal_industry,principal_agreement_ia,counterparty_agreement_ia,agreement_date,agreement_id,agreement_status,agreement_description,agreement_type,agreementgroupcode,counterparty_seg_type,principal_seg_type,segregation,linkage_set,assets,custodian,simm_principal_calculation_currency,simm_cp_calculation_currency,rescued_data,reporting_date,agreement_name,region,principal_termination_currency,counterparty_termination_currency
A2486,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,SWISS LIFE AG:SWCD,SWCD,529900ZM2M8QF6PZDD34,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:1B",ISDA CSA,TDBK_SWCD_GEN,USD,,,,10000.0,,,,,,USD,250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-10-22,A89929,Amended,TDBK_SWCD_REG_VM_CSA,BILATERAL_CSA,TDBK_SWCD_GEN,,,Y,,Canada Mortgage Bonds;Ontario Provincial Bond;US Corporate,STATE STREET,,,,2026-06-03,TDBK_SWCD_REG_VM_CSA,TDBK,USD,USD
0503,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,DEUTSCHE BANK A.G.:DBFR,DBFR,7LTWFZYICNSX8D621K86,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:2A",ISDA CSA,TDBK_DBFR_GEN,USD,,,,10000.0,,,,,,USD,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994-01-04,A62486,Active,TDBK_DBFR_REG_IMC_CSA,BILATERAL_CSA,TDBK_DBFR_GEN,,,Y,,CAD CASH;Government of Canada Bond;Israel Government Bond,N/A,,,,2026-06-03,TDBK_DBFR_REG_IMC_CSA,TDBK,USD,
6571,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,BANCO HABITAT:BANH,BANH,B6ARUI4946ST4S7WOU88,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:2B",ISDA CSA,TDBK_BANH_GEN,EUR,,,,10000.0,,,,,,EUR,75000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-07-26,A10030,Pending,TDBK_BANH_GENERAL_CSA,GENERAL_CSA,TDBK_BANH_GEN,,,Y,,German Government Note;US Common Stock;Government of Canada Bond,BNY MELLON,,,,2026-06-03,TDBK_BANH_GENERAL_CSA,TDBK,EUR,
7164,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,INVESTEC BANK LIMITED:INBL,INBL,549300RH5FFHO48FXT69,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:2A",ISDA CSA,TDBK_INBL_GEN,USD,,,,250000.0,,,,,,USD,250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-04-08,A55533,Active,TDBK_INBL_REG_VM_CSA,BILATERAL_CSA,TDBK_INBL_GEN,,,N,,US Common Stock;Israel Government Bond;Government of Canada Bond,BNY MELLON,,,,2026-06-03,TDBK_INBL_REG_VM_CSA,TDBK,,USD
0595,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,CITIBANK NA:CITI,CITI,E57ODZWZ7FF32TWEFA76,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:1B",ISDA CSA,TDBK_CITI_GEN,GBP,,,,250000.0,,,,,,GBP,250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-03-12,A23393,Pending,TDBK_CITI_GENERAL_CSA,REG_VM,TDBK_CITI_GEN,,,Y,,German Government Note;Ontario Provincial Bond;Israel Government Bond,BNY MELLON,,,,2026-06-03,TDBK_CITI_GENERAL_CSA,TDBK,GBP,GBP
4362,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,MORGAN STANLEY INTL:MSIL,MSIL,4PQUHN3JPFGFNF3BB653,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:2A",ISDA CSA,TDBK_MSIL_GEN,EUR,,,,10000.0,,,,,,EUR,75000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-02,A57415,Pending,TDBK_MSIL_REG_IMC_CSA,GENERAL_CSA,TDBK_MSIL_GEN,,,Y,,USD CASH;Ontario Provincial Bond;Canada Mortgage Bonds,BNY MELLON,,,,2026-06-03,TDBK_MSIL_REG_IMC_CSA,TDBK,EUR,
A5927,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,SWISS LIFE AG:SWCD,SWCD,529900ZM2M8QF6PZDD34,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:1B",ISDA CSA,TDBK_SWCD_GEN,CAD,,,,10000.0,,,,,,CAD,250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-11-22,A80984,Active,TDBK_SWCD_REG_IMC_CSA,BILATERAL_CSA,TDBK_SWCD_GEN,,,N,,US Corporate;CAD CASH;USD CASH,STATE STREET,,,,2026-06-03,TDBK_SWCD_REG_IMC_CSA,TDBK,CAD,
9480,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,WELLINGTON GLOBAL EQUITY FUND 28R5:WH17,WH17,,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:3A",ISDA CSA,TDBK_WH17_GEN,GBP,,,,250000.0,,,,,,GBP,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-10-08,A13798,Amended,TDBK_WH17_REG_IMC_CSA,REG_VM,TDBK_WH17_GEN,,,N,,Canada Mortgage Bonds;Government of Canada Bond;US Common Stock,BNY MELLON,,,,2026-06-03,TDBK_WH17_REG_IMC_CSA,TDBK,GBP,GBP
K5826,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,BIMCOR INC:BIMC,BIMC,,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:3B",ISDA CSA,TDBK_BIMC_GEN,CAD,,,,10000.0,,,,,,CAD,75000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-06-03,A20556,Amended,TDBK_BIMC_REG_VM_CSA,REG_VM,TDBK_BIMC_GEN,,,,,US Corporate;CAD CASH;Government of Canada Bond,STATE STREET,,,,2026-06-03,TDBK_BIMC_REG_VM_CSA,TDBK,,CAD
8907,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,BANK OF NOVA SCOTIA:BNSC,BNSC,L3I9ZG2KFGXZ61BMYR72,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:1A",ISDA CSA,TDBK_BNSC_GEN,USD,,,,250000.0,,,,,,USD,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-19,A10250,Pending,TDBK_BNSC_REG_IMC_CSA,GENERAL_CSA,TDBK_BNSC_GEN,,,Y,,German Government Note;Government of Canada Bond;Canada Mortgage Bonds,N/A,,,,2026-06-03,TDBK_BNSC_REG_IMC_CSA,TDBK,USD,USD
8832,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,DEUTSCHE BANK A.G.:DBFR,DBFR,7LTWFZYICNSX8D621K86,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:2A",ISDA CSA,TDBK_DBFR_GEN,GBP,,,,10000.0,,,,,,GBP,250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-06-10,A93341,Amended,TDBK_DBFR_REG_VM_CSA,BILATERAL_CSA,TDBK_DBFR_GEN,,,N,,Canada Mortgage Bonds;US Treasury;CAD CASH,BNY MELLON,,,,2026-06-03,TDBK_DBFR_REG_VM_CSA,TDBK,,
3785,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,INVESTEC BANK LIMITED:INBL,INBL,549300RH5FFHO48FXT69,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:2A",ISDA CSA,TDBK_INBL_GEN,GBP,,,,10000.0,,,,,,GBP,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992-04-13,A29811,Pending,TDBK_INBL_GENERAL_CSA,REG_IMC,TDBK_INBL_GEN,,,Y,,USD CASH;Israel Government Bond;US Treasury,STATE STREET,,,,2026-06-03,,TDBK,,GBP
1350,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,BANCO HABITAT:BANH,BANH,B6ARUI4946ST4S7WOU88,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:2B",ISDA CSA,TDBK_BANH_GEN,GBP,,,,10000.0,,,,,,GBP,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-12-12,A95154,Active,,REG_VM,TDBK_BANH_GEN,,,Y,,Canada Mortgage Bonds;Israel Government Bond;USD CASH,BNY MELLON,,,,2026-06-03,,TDBK,,GBP
A4899,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,CENTRAL 1 CREDIT UNION:BCCU,BCCU,549300XXHOD8SXSZKY72,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:1C",ISDA CSA,TDBK_BCCU_GEN,CAD,,,,250000.0,,,,,,CAD,250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-09-25,A52728,Active,TDBK_BCCU_REG_IMC_CSA,REG_IMC,TDBK_BCCU_GEN,,,,,CAD CASH;Government of Canada Bond;USD CASH,BNY MELLON,,,,2026-06-03,TDBK_BCCU_REG_IMC_CSA,TDBK,CAD,CAD
0946,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,CITIBANK NA:CITI,CITI,E57ODZWZ7FF32TWEFA76,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:1B",ISDA CSA,TDBK_CITI_GEN,GBP,,,,10000.0,,,,,,GBP,75000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-25,A27139,Active,TDBK_CITI_REG_IMC_CSA,GENERAL_CSA,TDBK_CITI_GEN,,,Y,,Israel Government Bond;Government of Canada Bond;US Common Stock,,,,,2026-06-03,,TDBK,GBP,GBP
3319,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,BANCO HABITAT:BANH,BANH,B6ARUI4946ST4S7WOU88,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:2B",ISDA CSA,TDBK_BANH_GEN,GBP,,,,250000.0,,,,,,GBP,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-05-13,A25772,Active,TDBK_BANH_REG_IMC_CSA,GENERAL_CSA,TDBK_BANH_GEN,,,N,,Ontario Provincial Bond;US Corporate;Government of Canada Bond,BNY MELLON,,,,2026-06-03,TDBK_BANH_REG_IMC_CSA,TDBK,GBP,GBP
5537,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,WELLINGTON GLOBAL EQUITY FUND 28R5:WH17,WH17,,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:3A",ISDA CSA,TDBK_WH17_GEN,USD,,,,10000.0,,,,,,USD,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992-08-15,A76547,Amended,TDBK_WH17_GENERAL_CSA,REG_IMC,TDBK_WH17_GEN,,,N,,Ontario Provincial Bond;Israel Government Bond;US Treasury,STATE STREET,,,,2026-06-03,TDBK_WH17_GENERAL_CSA,TDBK,USD,
5541,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,BIMCOR INC:BIMC,BIMC,,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:3B",ISDA CSA,TDBK_BIMC_GEN,CAD,,,,250000.0,,,,,,CAD,75000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-04-11,A72657,Amended,TDBK_BIMC_REG_IMC_CSA,REG_VM,TDBK_BIMC_GEN,,,N,,German Government Note;US Corporate;Ontario Provincial Bond,,,,,2026-06-03,TDBK_BIMC_REG_IMC_CSA,TDBK,CAD,CAD
7428,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,DEUTSCHE BANK A.G.:DBFR,DBFR,7LTWFZYICNSX8D621K86,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:2A",ISDA CSA,TDBK_DBFR_GEN,USD,,,,250000.0,,,,,,USD,75000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-18,A97969,Active,TDBK_DBFR_GENERAL_CSA,REG_IMC,TDBK_DBFR_GEN,,,N,,Canada Mortgage Bonds;US Corporate;US Treasury,,,,,2026-06-03,TDBK_DBFR_GENERAL_CSA,TDBK,USD,
6999,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,INVESTEC BANK LIMITED:INBL,INBL,549300RH5FFHO48FXT69,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:2A",ISDA CSA,TDBK_INBL_GEN,GBP,,,,10000.0,,,,,,GBP,75000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-09-17,A71307,Amended,TDBK_INBL_GENERAL_CSA,REG_VM,TDBK_INBL_GEN,,,N,,Canada Mortgage Bonds;Israel Government Bond;Government of Canada Bond,N/A,,,,2026-06-03,TDBK_INBL_GENERAL_CSA,TDBK,,
8070,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,WELLINGTON GLOBAL EQUITY FUND 28R5:WH17,WH17,,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:3A",ISDA CSA,TDBK_WH17_GEN,EUR,,,,10000.0,,,,,,EUR,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-19,A54448,Amended,TDBK_WH17_REG_VM_CSA,GENERAL_CSA,TDBK_WH17_GEN,,,Y,,Canada Mortgage Bonds;US Treasury;Israel Government Bond,BNY MELLON,,,,2026-06-03,,TDBK,EUR,
6537,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,BANK OF NOVA SCOTIA:BNSC,BNSC,L3I9ZG2KFGXZ61BMYR72,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:1A",ISDA CSA,TDBK_BNSC_GEN,EUR,,,,250000.0,,,,,,EUR,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-11-01,A12370,Pending,TDBK_BNSC_REG_VM_CSA,GENERAL_CSA,TDBK_BNSC_GEN,,,Y,,Israel Government Bond;Ontario Provincial Bond;US Common Stock,STATE STREET,,,,2026-06-03,TDBK_BNSC_REG_VM_CSA,TDBK,EUR,EUR
2716,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,INVESTEC BANK LIMITED:INBL,INBL,549300RH5FFHO48FXT69,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:2A",ISDA CSA,TDBK_INBL_GEN,CAD,,,,250000.0,,,,,,CAD,75000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-11-03,A15188,Amended,TDBK_INBL_REG_VM_CSA,REG_IMC,TDBK_INBL_GEN,,,N,,US Corporate;Canada Mortgage Bonds;US Common Stock,BNY MELLON,,,,2026-06-03,TDBK_INBL_REG_VM_CSA,TDBK,,CAD
