issuer,description,maturity_date,classification,rating,clean_price,coupon_accrual,factor,dirty_price,valuation_date,lock_up_margin,par_amount,booking_currency,booking_market_value,booking_collateral_value,haircut,internal_policy_reuse,reporting_currency,reported_market_value,reported_collateral_value,issue_date,agreement_ext_id,additional_info_1,additional_info_2,additional_info_3,additional_info_4,notation,region,group,counterparty_contact,telephone_number,fax_number,email_address,custodian,fx_rate,margin_type,asset_notes1,asset_notes2,asset_notes3,base_ccy,base_market_value,base_adjusted_collateral_value,cpty_country_of_risk,instrument_id_type,prc_payment_instruction_bucket,cpty_payment_instruction_bucket,segregation,segregation_type,gross_calc,issuer_country_of_risk,prc_account_number,prc_beneficiary_bank,prc_ultimate_custodian_code,prc_ultimate_custodian,cpty_account_number,cpty_beneficiary_bank,cpty_ultimate_custodian_code,cpty_ultimate_custodian,agreement,agreement_category,agreement_name,asset_class,asset_owner,asset_type,booking_type,business_line,ccp,cqs,collateral_status,counterparty,counterparty_lei,counterpartycode,counterpartywithcpcode,cpty_petrid,cpty_jurisdiction,cpty_cif_number,cpty_internal_flag,cpty_internal_rating,cpty_bloomberg_ticker,cpty_bloomberg_company_id,im_rehypothecation_rights,instrument_id,issue_country_of_risk,issuer_code,issuer_long_name,issuer_rating,linkage_set,market,model,pd,position,prc_petrid,prc_jurisdiction,prc_cif_number,prc_internal_flag,prc_bloomberg_ticker,prc_bloomberg_company_id,price_factor,price_source,principal,principal_lei,principalcode,rehypothecated,rehypothecation_rights,rescued_data,reporting_date,usd_to_cad_rate
Government ISSUER,Government of Canada Bond 3.28,2034-10-22,,MOODYS LT:A3 SP LT:AA-,88.74,,,94.05,2026-06-17,,4400000.0,CAD,4171751.88,4334000.0,0.015,,USD,4400000.0,4334000.0,,K7577,,,,,,TDBK,,,,,,STATE STREET,1.1,Not-Net,,,,CAD,5940000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BANH_REG_IMC_CSA,,TDBK_BANH_REG_IMC_CSA,Sovereign,,Government of Canada Bond,VM,OTC,,,In Transit,BANCO HABITAT,,BANH,,600103,,,,,,,,IL0JR8DJF94H,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-17,1.36
Ontario ISSUER,Ontario Provincial Bond 6.62,2030-08-02,,MOODYS LT:A3 SP LT:AA-,98.43,,,97.38,2026-07-01,,2300000.0,CAD,2153456.2,2208000.0,0.04,,USD,2300000.0,2208000.0,,7887,,,,,,TDBK,,,,,,BNY MELLON,1.0,VM,,,,CAD,3105000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_WH17_GENERAL_CSA,,TDBK_WH17_GENERAL_CSA,Provincial,,Ontario Provincial Bond,IM,OTC,,,In Transit,WELLINGTON GLOBAL EQUITY FUND 28R5,,WH17,,600104,,,,,,,,CA4DJ196MJ6G,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-07-01,1.36
US ISSUER,US Common Stock 5.50,2042-04-19,,MOODYS LT:A3 SP LT:AA-,100.5,,,92.62,2026-06-17,,1600000.0,USD,1668545.33,1360000.0,0.15,,USD,1600000.0,1360000.0,,K2046,,,,,,TDBK,,,,,,STATE STREET,1.05,Not-Net,,,,CAD,2160000.0,,,ISIN,,,,,,,,,,,,,,,TDGF_XXXX_GENERAL_CSA,,TDGF_XXXX_GENERAL_CSA,Corporate,,US Common Stock,VM,OTC,,,Pending,BANCO HABITAT,,BANH,,600103,,,,,,,,DEQ7LH361HLA,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-17,1.36
Government ISSUER,Government of Canada Bond 5.07,2038-01-06,,MOODYS LT:A3 SP LT:AA-,91.2,,,92.39,2026-07-01,,1900000.0,CAD,1890384.93,1871500.0,0.015,,USD,1900000.0,1871500.0,,0832,,,,,,TDBK,,,,,,,0.91,VM,,,,CAD,2565000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_SWCD_GENERAL_CSA,,TDBK_SWCD_GENERAL_CSA,Sovereign,,Government of Canada Bond,VM,OTC,,,Pending,SWISS LIFE AG,,SWCD,,600105,,,,,,,,CA7G4CCQ1BQB,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-07-01,1.36
US ISSUER,US Common Stock 1.85,2034-07-15,,MOODYS LT:A3 SP LT:AA-,95.59,,,94.14,2026-06-24,,3100000.0,USD,3043775.4,2635000.0,0.15,,USD,3100000.0,2635000.0,,K3014,,,,,,TDBK,,,,,,BNY MELLON,1.27,Not-Net,,,,CAD,4185000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_CITI_REG_VM_CSA,,TDBK_CITI_REG_VM_CSA,Corporate,,US Common Stock,IM,OTC,,,Settled,CITIBANK NA,,CITI,,600108,,,,,,,,USG3CE24HQG8,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-24,1.36
USD ISSUER,USD CASH 3.64,2044-08-23,,MOODYS LT:A3 SP LT:AA-,95.05,,,101.45,2026-06-03,,300000.0,USD,300913.18,300000.0,0.0,,USD,300000.0,300000.0,,A3823,,,,,,TDBK,,,,,,STATE STREET,0.89,Not-Net,,,,CAD,405000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_DBFR_GENERAL_CSA,,TDBK_DBFR_GENERAL_CSA,Cash,,USD CASH,VM,OTC,,,Pending,DEUTSCHE BANK A.G.,,DBFR,,600107,,,,,,,,CADLENP4B2K7,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-03,1.36
US ISSUER,US Common Stock 2.56,2045-09-21,,MOODYS LT:A3 SP LT:AA-,90.49,,,100.59,2026-06-03,,1900000.0,USD,1843648.32,1615000.0,0.15,,USD,1900000.0,1615000.0,,6093,,,,,,TDBK,,,,,,BNY MELLON,0.97,IM,,,,CAD,2565000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_CITI_REG_IMC_CSA,,TDBK_CITI_REG_IMC_CSA,Corporate,,US Common Stock,IM,OTC,,,Settled,CITIBANK NA,,CITI,,600108,,,,,,,,DE8MAARQNPG9,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-03,1.36
Canada ISSUER,Canada Mortgage Bonds 5.17,2037-09-01,,MOODYS LT:A3 SP LT:AA-,93.28,,,96.55,2026-06-17,,400000.0,CAD,372147.34,392000.0,0.02,,USD,400000.0,392000.0,,2342,,,,,,TDBK,,,,,,BNY MELLON,0.74,IM,,,,CAD,540000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_WH17_REG_VM_CSA,,TDBK_WH17_REG_VM_CSA,Sovereign,,Canada Mortgage Bonds,IM,OTC,,,In Transit,WELLINGTON GLOBAL EQUITY FUND 28R5,,WH17,,600104,,,,,,,,CAD3J2J4GNRP,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-17,1.36
CAD ISSUER,CAD CASH 1.27,2040-08-25,,MOODYS LT:A3 SP LT:AA-,93.89,,,97.9,2026-06-24,,600000.0,CAD,591402.78,600000.0,0.0,,USD,600000.0,600000.0,,8912,,,,,,TDBK,,,,,,BNY MELLON,0.71,VM,,,,CAD,810000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_SWCD_GENERAL_CSA,,TDBK_SWCD_GENERAL_CSA,Cash,,CAD CASH,VM,OTC,,,In Transit,SWISS LIFE AG,,SWCD,,600105,,,,,,,,ILJ2497NJQN2,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-24,1.36
US ISSUER,US Treasury 6.46,2043-03-14,,MOODYS LT:A3 SP LT:AA-,98.78,,,97.45,2026-06-24,,4700000.0,USD,4529963.86,4653000.0,0.01,,USD,4700000.0,4653000.0,,0828,,,,,,TDBK,,,,,,BNY MELLON,1.35,IM,,,,CAD,6345000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_CITI_GENERAL_CSA,,TDBK_CITI_GENERAL_CSA,Sovereign,,US Treasury,IM,OTC,,,Pending,CITIBANK NA,,CITI,,600108,,,,,,,,ILJ5EHDJ88R3,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-24,1.36
USD ISSUER,USD CASH 1.69,2028-04-05,,MOODYS LT:A3 SP LT:AA-,96.58,,,97.05,2026-06-03,,3600000.0,USD,3276237.19,3600000.0,0.0,,USD,3600000.0,3600000.0,,2811,,,,,,TDBK,,,,,,BNY MELLON,1.07,IM,,,,CAD,4860000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_SWCD_REG_VM_CSA,,TDBK_SWCD_REG_VM_CSA,Cash,,USD CASH,VM,OTC,,,Settled,SWISS LIFE AG,,SWCD,,600105,,,,,,,,USFBQ7GQ3DAB,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-03,1.36
US ISSUER,US Common Stock 5.22,2032-02-22,,MOODYS LT:A3 SP LT:AA-,97.73,,,88.98,2026-06-17,,4500000.0,USD,4586378.24,3825000.0,0.15,,USD,4500000.0,3825000.0,,3373,,,,,,TDBK,,,,,,BNY MELLON,0.89,Not-Net,,,,CAD,6075000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_INBL_REG_VM_CSA,,TDBK_INBL_REG_VM_CSA,Corporate,,US Common Stock,VM,OTC,,,In Transit,INVESTEC BANK LIMITED,,INBL,,600102,,,,,,,,USNK8JQG2DC0,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-17,1.36
German ISSUER,German Government Note 1.52,2037-08-11,,MOODYS LT:A3 SP LT:AA-,94.17,,,95.82,2026-06-24,,2800000.0,EUR,2574186.59,2688000.0,0.04,,USD,2800000.0,2688000.0,,1249,,,,,,TDBK,,,,,,BNY MELLON,1.19,Not-Net,,,,CAD,3780000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BANH_REG_IMC_CSA,,TDBK_BANH_REG_IMC_CSA,Sovereign,,German Government Note,VM,OTC,,,In Transit,BANCO HABITAT,,BANH,,600103,,,,,,,,USCK0N7CLPJH,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-24,1.36
USD ISSUER,USD CASH 6.96,2038-11-27,,MOODYS LT:A3 SP LT:AA-,98.76,,,101.85,2026-07-01,,900000.0,USD,914787.8,900000.0,0.0,,USD,900000.0,900000.0,,A2457,,,,,,TDBK,,,,,,STATE STREET,1.16,VM,,,,CAD,1215000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_INBL_GENERAL_CSA,,TDBK_INBL_GENERAL_CSA,Cash,,USD CASH,IM,OTC,,,Pending,INVESTEC BANK LIMITED,,INBL,,600102,,,,,,,,DE23485G881H,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-07-01,1.36
Canada ISSUER,Canada Mortgage Bonds 9.60,2042-03-11,,MOODYS LT:A3 SP LT:AA-,98.5,,,89.34,2026-06-17,,3000000.0,CAD,2954414.57,2940000.0,0.02,,USD,3000000.0,2940000.0,,0543,,,,,,TDBK,,,,,,STATE STREET,0.95,IM,,,,CAD,4050000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_INBL_GENERAL_CSA,,TDBK_INBL_GENERAL_CSA,Sovereign,,Canada Mortgage Bonds,VM,OTC,,,Settled,INVESTEC BANK LIMITED,,INBL,,600102,,,,,,,,DE5JJGB72KGA,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-17,1.36
US ISSUER,US Corporate 6.09,2034-09-20,,MOODYS LT:A3 SP LT:AA-,89.9,,,100.26,2026-06-10,,1300000.0,USD,1303231.53,1196000.0,0.08,,USD,1300000.0,1196000.0,,A5538,,,,,,TDBK,,,,,,BNY MELLON,0.94,VM,,,,CAD,1755000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_INBL_REG_VM_CSA,,TDBK_INBL_REG_VM_CSA,Corporate,,US Corporate,VM,OTC,,,Pending,INVESTEC BANK LIMITED,,INBL,,600102,,,,,,,,ILAFHPLDP8N3,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-10,1.36
CAD ISSUER,CAD CASH 5.52,2039-11-21,,MOODYS LT:A3 SP LT:AA-,97.26,,,90.25,2026-06-03,,4400000.0,CAD,4503985.92,4400000.0,0.0,,USD,4400000.0,4400000.0,,6466,,,,,,TDBK,,,,,,BNY MELLON,0.85,VM,,,,CAD,5940000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BCCU_REG_IMC_CSA,,TDBK_BCCU_REG_IMC_CSA,Cash,,CAD CASH,VM,OTC,,,In Transit,CENTRAL 1 CREDIT UNION,,BCCU,,600101,,,,,,,,USJL7M5F9EK5,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-03,1.36
CAD ISSUER,CAD CASH 1.68,2035-12-07,,MOODYS LT:A3 SP LT:AA-,96.07,,,95.9,2026-06-10,,2500000.0,CAD,2437558.15,2500000.0,0.0,,USD,2500000.0,2500000.0,,2156,,,,,,TDBK,,,,,,BNY MELLON,0.93,VM,,,,CAD,3375000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_CITI_REG_VM_CSA,,TDBK_CITI_REG_VM_CSA,Cash,,CAD CASH,IM,OTC,,,Settled,CITIBANK NA,,CITI,,600108,,,,,,,,CARABB99N2RE,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-10,1.36
USD ISSUER,USD CASH 6.61,2034-11-27,,MOODYS LT:A3 SP LT:AA-,88.95,,,97.63,2026-06-24,,400000.0,USD,410292.82,400000.0,0.0,,USD,400000.0,400000.0,,7514,,,,,,TDBK,,,,,,BNY MELLON,1.1,VM,,,,CAD,540000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_SWCD_REG_VM_CSA,,TDBK_SWCD_REG_VM_CSA,Cash,,USD CASH,VM,OTC,,,In Transit,SWISS LIFE AG,,SWCD,,600105,,,,,,,,IL98GELED0H9,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-24,1.36
USD ISSUER,USD CASH 4.76,2039-07-28,,MOODYS LT:A3 SP LT:AA-,93.64,,,93.28,2026-06-03,,2700000.0,USD,2735514.75,2700000.0,0.0,,USD,2700000.0,2700000.0,,A2021,,,,,,TDBK,,,,,,STATE STREET,0.97,Not-Net,,,,CAD,3645000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_MSIL_GENERAL_CSA,,TDBK_MSIL_GENERAL_CSA,Cash,,USD CASH,IM,OTC,,,Settled,MORGAN STANLEY INTL,,MSIL,,600109,,,,,,,,DELL346H0GBQ,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-03,1.36
German ISSUER,German Government Note 5.24,2029-12-13,,MOODYS LT:A3 SP LT:AA-,99.5,,,100.31,2026-07-01,,1800000.0,EUR,1649379.79,1728000.0,0.04,,USD,1800000.0,1728000.0,,3082,,,,,,TDBK,,,,,,BNY MELLON,1.11,Not-Net,,,,CAD,2430000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_MSIL_REG_IMC_CSA,,TDBK_MSIL_REG_IMC_CSA,Sovereign,,German Government Note,IM,OTC,,,In Transit,MORGAN STANLEY INTL,,MSIL,,600109,,,,,,,,USN46C6FB6JD,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-07-01,1.36
Government ISSUER,Government of Canada Bond 7.24,2042-07-25,,MOODYS LT:A3 SP LT:AA-,99.49,,,94.79,2026-06-10,,300000.0,CAD,294591.66,295500.0,0.015,,USD,300000.0,295500.0,,0642,,,,,,TDBK,,,,,,BNY MELLON,0.93,Not-Net,,,,CAD,405000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BCCU_GENERAL_CSA,,TDBK_BCCU_GENERAL_CSA,Sovereign,,Government of Canada Bond,IM,OTC,,,Pending,CENTRAL 1 CREDIT UNION,,BCCU,,600101,,,,,,,,ILE8RLAA91KB,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-10,1.36
Canada ISSUER,Canada Mortgage Bonds 2.23,2031-09-01,,MOODYS LT:A3 SP LT:AA-,92.61,,,88.27,2026-07-01,,3500000.0,CAD,3603338.47,3430000.0,0.02,,USD,3500000.0,3430000.0,,8932,,,,,,TDBK,,,,,,BNY MELLON,0.88,IM,,,,CAD,4725000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_CITI_GENERAL_CSA,,TDBK_CITI_GENERAL_CSA,Sovereign,,Canada Mortgage Bonds,VM,OTC,,,Pending,CITIBANK NA,,CITI,,600108,,,,,,,,CAAQPE1E8LEL,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-07-01,1.36
US ISSUER,US Corporate 3.22,2031-10-19,,MOODYS LT:A3 SP LT:AA-,88.15,,,89.97,2026-06-03,,4700000.0,USD,4727840.68,4324000.0,0.08,,USD,4700000.0,4324000.0,,5555,,,,,,TDBK,,,,,,BNY MELLON,1.38,Not-Net,,,,CAD,6345000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BCCU_REG_IMC_CSA,,TDBK_BCCU_REG_IMC_CSA,Corporate,,US Corporate,IM,OTC,,,Settled,CENTRAL 1 CREDIT UNION,,BCCU,,600101,,,,,,,,CAJEPFGHF6L6,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-03,1.36
US ISSUER,US Treasury 4.83,2038-06-25,,MOODYS LT:A3 SP LT:AA-,95.92,,,101.29,2026-06-24,,3000000.0,USD,2895481.52,2970000.0,0.01,,USD,3000000.0,2970000.0,,1955,,,,,,TDBK,,,,,,BNY MELLON,1.19,Not-Net,,,,CAD,4050000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BANH_REG_VM_CSA,,TDBK_BANH_REG_VM_CSA,Sovereign,,US Treasury,VM,OTC,,,Settled,BANCO HABITAT,,BANH,,600103,,,,,,,,US01BQGF63MN,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-24,1.36
German ISSUER,German Government Note 2.30,2037-05-15,,MOODYS LT:A3 SP LT:AA-,99.17,,,92.09,2026-07-01,,3900000.0,EUR,3745374.05,3744000.0,0.04,,USD,3900000.0,3744000.0,,3730,,,,,,TDBK,,,,,,BNY MELLON,0.81,Not-Net,,,,CAD,5265000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BNSC_REG_IMC_CSA,,TDBK_BNSC_REG_IMC_CSA,Sovereign,,German Government Note,IM,OTC,,,In Transit,BANK OF NOVA SCOTIA,,BNSC,,600106,,,,,,,,CA1HC5RH98KB,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-07-01,1.36
