trade_identifier_party_a,trade_identifier_2_party_a,trade_date,effective_date,maturity_date,party_a_branch_name,party_b_branch_name,strike_price,buy_or_sell,put_or_call,exchanged_notional_1_amount,exchanged_notional_1_currency,exchanged_notional_2_amount,exchanged_notional_2_currency,valuation_base_currency,valuation_date,underlying,external_id,valuation_base_currency_amount_t_1,margin_type,settlement_date,agreement_name,ims_portfolio,ims_desk,model,pai,pai_rate,source_system,product_type,trade_identifier_party_b,applicable_agreements,rescued_data,reporting_date
69787714,,2025-09-20,2025-04-26,2031-03-26,TDBK,BIMCOR INC,98.79,Buy,Put,1000000.0,EUR,,,USD,2026-07-01,,6786,600000.0,VM,2026-05-26,TDBK_BIMC_REG_IMC_CSA,PB,RATES,SIMM,-3744.59,0.03189438,CALYPSOCPG,Credit Default Swap,,6786:REG_VM|7374:REG_IMC,,2026-06-10
29045707,,2026-01-05,2026-12-04,2030-03-07,TDBK,SWISS LIFE AG,,Buy,,44000000.0,USD,,,USD,2026-07-01,FX/IR,A5486,-200000.0,VM,2026-06-16,,PB,RATES,SIMM,2586.92,,CALYPSOCPG,IR Swap,,A5486:REG_VM|7561:REG_IMC,,2026-06-10
78316982,,2024-05-23,2026-01-23,2026-06-26,TDBK,WELLINGTON GLOBAL EQUITY FUND 28R5,94.74,Buy,,391000000.0,USD,,,USD,2026-07-01,FX/IR,A5036,1100000.0,Net,2026-01-28,,PB,RATES,SIMM,8253.11,0.01865888,DARWIN,Swaption,,A5036:REG_VM|7510:REG_IMC,,2026-06-03
58995180,,2024-04-09,2025-11-24,2028-11-22,TDBK,SWISS LIFE AG,92.13,Sell,Put,186000000.0,EUR,,,USD,2026-07-01,FX/IR,4362,1200000.0,Net,2026-07-05,TDBK_SWCD_GENERAL_CSA,PB,,SIMM,-8423.76,0.0338244,MUREXFXO,FX Option,,4362:REG_VM|7529:REG_IMC,,2026-06-17
28832295,,2024-01-24,2026-10-07,2029-11-16,TDBK,WELLINGTON GLOBAL EQUITY FUND 28R5,90.31,Buy,,315000000.0,GBP,,,USD,2026-07-01,FX/IR,A8635,1800000.0,IM,2026-11-06,TDBK_WH17_GENERAL_CSA,PB,RATES,SIMM,-7476.4,0.04355975,CALYPSOCPG,IR Swap,,A8635:REG_VM|7487:REG_IMC,,2026-07-01
62654124,,2026-04-20,2024-02-01,2028-07-05,TDBK,SWISS LIFE AG,92.72,Buy,,391000000.0,USD,,,USD,2026-07-01,FX/IR,A2072,100000.0,Net,2026-06-03,TDBK_SWCD_REG_IMC_CSA,PB,RATES,SIMM,,0.00118691,CALYPSOCPG,IR Swap,,A2072:REG_VM|7888:REG_IMC,,2026-07-01
49671025,,2025-07-07,2024-10-23,2029-12-01,TDBK,SWISS LIFE AG,101.0,Buy,Put,452000000.0,EUR,,,USD,2026-07-01,FX/IR,0450,1900000.0,Net,2026-05-22,,PB,RATES,SIMM,-3444.29,0.0400205,CALYPSOCPG,Credit Default Swap,,0450:REG_VM|7801:REG_IMC,,2026-06-10
84529883,,2024-01-06,2026-03-05,2028-11-24,TDBK,WELLINGTON GLOBAL EQUITY FUND 28R5,,Buy,,216000000.0,USD,,,USD,2026-07-01,FX/IR,0375,0.0,IM,2026-04-27,TDBK_WH17_GENERAL_CSA,PB,,SIMM,6180.11,0.00316271,CALYPSOCPG,IR Swap,,0375:REG_VM|7503:REG_IMC,,2026-06-03
20210370,,2026-05-13,2026-02-11,2028-12-02,TDBK,DEUTSCHE BANK A.G.,,Sell,Put,382000000.0,USD,,,USD,2026-07-01,FX/IR,A8308,1500000.0,VM,2026-10-11,TDBK_DBFR_REG_VM_CSA,PB,,SIMM,-7744.66,0.04181734,CALYPSOCPG,Credit Default Swap,,A8308:REG_VM|7002:REG_IMC,,2026-06-24
21044379,,2024-03-25,2024-10-03,2029-08-14,TDBK,BANCO HABITAT,100.63,Sell,,293000000.0,GBP,,,USD,2026-07-01,FX/IR,0401,1100000.0,IM,2026-07-23,TDBK_BANH_REG_VM_CSA,PB,RATES,SIMM,-9197.72,0.02420868,DARWIN,Swaption,,0401:REG_VM|7319:REG_IMC,,2026-06-03
96922916,,2024-12-16,2025-10-23,2026-07-23,TDBK,BANCO HABITAT,,Buy,Put,277000000.0,CAD,,,USD,2026-07-01,FX/IR,K8483,1500000.0,Net,2026-06-24,TDBK_BANH_REG_VM_CSA,PB,,SIMM,-7863.96,0.03390296,CALYPSOCPG,IR Swap,,K8483:REG_VM|7604:REG_IMC,,2026-07-01
88238838,,2025-09-25,2025-08-25,2027-10-19,TDBK,MORGAN STANLEY INTL,,Sell,,39000000.0,CAD,,,USD,2026-07-01,FX/IR,0878,1300000.0,VM,2026-07-03,,PB,RATES,SIMM,-7931.9,0.01284892,CALYPSOCPG,Credit Default Swap,,0878:REG_VM|7822:REG_IMC,,2026-06-03
83040321,,2026-12-07,2024-11-24,2026-08-03,TDBK,INVESTEC BANK LIMITED,94.14,Buy,Call,63000000.0,GBP,,,USD,2026-07-01,FX/IR,K8964,-200000.0,Net,2026-09-12,TDBK_INBL_REG_VM_CSA,,RATES,SIMM,524.28,0.02023403,MUREXFXO,FX Option,,K8964:REG_VM|7362:REG_IMC,,2026-06-03
20801614,,2024-01-20,2025-02-03,2030-01-19,TDBK,CITIBANK NA,108.71,Sell,,25000000.0,EUR,,,USD,2026-07-01,FX/IR,3037,-400000.0,VM,2026-05-28,,,RATES,SIMM,-2049.63,0.03830286,DARWIN,Swaption,,3037:REG_VM|7878:REG_IMC,,2026-06-24
26768928,,2025-05-24,2025-08-26,2026-12-10,TDBK,CITIBANK NA,101.81,Buy,,99000000.0,CAD,,,USD,2026-07-01,FX/IR,0242,-500000.0,Net,2026-03-11,TDBK_CITI_GENERAL_CSA,PB,,SIMM,9032.24,0.01640749,CALYPSOCPG,IR Swap,,0242:REG_VM|7994:REG_IMC,,2026-06-24
65036542,,2026-03-18,2024-11-19,2026-06-05,TDBK,MORGAN STANLEY INTL,,Sell,,474000000.0,EUR,,,USD,2026-07-01,FX/IR,A4355,0.0,IM,2026-03-11,TDBK_MSIL_GENERAL_CSA,PB,RATES,SIMM,-4585.17,0.04063059,CALYPSOCPG,IR Swap,,A4355:REG_VM|7209:REG_IMC,,2026-07-01
54326212,,2026-01-14,2025-11-09,2029-11-16,TDBK,CENTRAL 1 CREDIT UNION,96.46,Sell,,123000000.0,GBP,,,USD,2026-07-01,FX/IR,A8075,400000.0,VM,2026-12-01,TDBK_BCCU_GENERAL_CSA,PB,RATES,SIMM,-7190.92,0.01207597,DARWIN,Swaption,,A8075:REG_VM|7809:REG_IMC,,2026-06-17
23782472,,2025-03-07,2025-10-20,2028-06-15,TDBK,BANK OF NOVA SCOTIA,99.64,Sell,Put,192000000.0,GBP,,,USD,2026-07-01,FX/IR,7100,900000.0,IM,2026-12-22,,PB,RATES,SIMM,3902.6,0.00014728,SOPHIS,Equity Swap,,7100:REG_VM|7918:REG_IMC,,2026-07-01
29606427,,2024-01-25,2024-03-19,2030-06-16,TDBK,BIMCOR INC,,Buy,,403000000.0,USD,,,USD,2026-07-01,FX/IR,0779,-400000.0,VM,2026-09-23,TDBK_BIMC_REG_VM_CSA,PB,,SIMM,,0.02665012,CALYPSOCPG,IR Swap,,0779:REG_VM|7106:REG_IMC,,2026-07-01
66184573,,2025-03-04,2024-05-16,2029-08-11,TDBK,DEUTSCHE BANK A.G.,92.88,Sell,,413000000.0,EUR,,,USD,2026-07-01,FX/IR,9514,-400000.0,VM,2026-12-19,TDBK_DBFR_REG_VM_CSA,PB,RATES,SIMM,2009.88,0.02101599,DARWIN,Swaption,,9514:REG_VM|7671:REG_IMC,,2026-06-24
49513652,,2026-07-22,2024-10-03,2026-01-24,TDBK,WELLINGTON GLOBAL EQUITY FUND 28R5,97.21,Sell,Call,104000000.0,GBP,,,USD,2026-07-01,FX/IR,K8151,1900000.0,Net,2026-05-27,TDBK_WH17_GENERAL_CSA,PB,RATES,,,0.03387839,CALYPSOCPG,IR Swap,,K8151:REG_VM|7904:REG_IMC,,2026-06-17
25759079,,2024-10-17,2025-11-20,2028-08-12,TDBK,CITIBANK NA,,Sell,Call,225000000.0,EUR,,,USD,2026-07-01,FX/IR,3490,1100000.0,Net,2026-11-22,TDBK_CITI_GENERAL_CSA,PB,RATES,SIMM,,0.00827806,MUREXFXO,FX Option,,3490:REG_VM|7624:REG_IMC,,2026-06-17
33750045,,2025-12-14,2026-03-06,2029-03-22,TDBK,BANK OF NOVA SCOTIA,,Sell,,409000000.0,USD,,,USD,2026-07-01,FX/IR,0690,300000.0,VM,2026-10-23,TDBK_BNSC_GENERAL_CSA,PB,RATES,,8104.04,0.03735257,CALYPSOCPG,IR Swap,,0690:REG_VM|7394:REG_IMC,,2026-06-03
87642263,,2024-11-04,2024-03-03,2030-08-26,TDBK,SWISS LIFE AG,108.81,Buy,,108000000.0,USD,,,USD,2026-07-01,FX/IR,2376,0.0,VM,2026-12-12,TDBK_SWCD_GENERAL_CSA,PB,RATES,SIMM,7296.75,0.00894148,CALYPSOCPG,Credit Default Swap,,2376:REG_VM|7556:REG_IMC,,2026-07-01
73016001,,2026-07-21,2024-12-16,2027-12-22,TDBK,MORGAN STANLEY INTL,,Sell,Put,161000000.0,GBP,,,USD,2026-07-01,FX/IR,9780,500000.0,Net,2026-11-22,TDBK_MSIL_REG_IMC_CSA,,RATES,SIMM,,0.00952105,SOPHIS,Equity Swap,,9780:REG_VM|7930:REG_IMC,,2026-06-10
88812657,,2025-10-25,2026-10-22,2027-07-25,TDBK,SWISS LIFE AG,97.42,Buy,,205000000.0,EUR,,,USD,2026-07-01,FX/IR,0193,100000.0,Net,2026-06-18,TDBK_SWCD_GENERAL_CSA,,,SIMM,5921.86,0.0407489,SOPHIS,Equity Swap,,0193:REG_VM|7256:REG_IMC,,2026-06-17
21754390,,2024-04-06,2026-06-18,2027-12-05,TDBK,BANK OF NOVA SCOTIA,109.87,Sell,,98000000.0,USD,,,USD,2026-07-01,FX/IR,7638,1900000.0,Net,2026-08-17,TDBK_BNSC_REG_IMC_CSA,PB,RATES,SIMM,-4472.29,0.00060987,CALYPSOCPG,IR Swap,,7638:REG_VM|7761:REG_IMC,,2026-07-01
88733648,,2026-12-16,2026-01-26,2030-02-04,TDBK,BANCO HABITAT,,Buy,Put,86000000.0,USD,,,USD,2026-07-01,FX/IR,4047,-400000.0,IM,2026-04-19,TDBK_BANH_REG_IMC_CSA,PB,RATES,SIMM,-8098.0,,CALYPSOCPG,Credit Default Swap,,4047:REG_VM|7315:REG_IMC,,2026-07-01
11127287,,2025-05-14,2025-07-21,2026-09-01,TDBK,MORGAN STANLEY INTL,,Buy,Put,318000000.0,USD,,,USD,2026-07-01,FX/IR,8996,400000.0,VM,2026-11-05,TDBK_MSIL_REG_VM_CSA,PB,RATES,SIMM,-3998.04,0.04641318,MUREXFXO,FX Option,,8996:REG_VM|7887:REG_IMC,,2026-07-01
19377645,,2024-12-10,2024-05-04,2031-06-22,TDBK,CITIBANK NA,,Sell,,291000000.0,EUR,,,USD,2026-07-01,FX/IR,0578,1300000.0,Net,2026-01-18,TDBK_CITI_GENERAL_CSA,PB,,SIMM,5606.62,0.02992014,CALYPSOCPG,Credit Default Swap,,0578:REG_VM|7620:REG_IMC,,2026-06-03
54613212,,2026-06-27,2026-05-25,2030-05-12,TDBK,BANCO HABITAT,,Sell,,336000000.0,EUR,,,USD,2026-07-01,FX/IR,0510,-300000.0,Net,2026-11-15,TDBK_BANH_GENERAL_CSA,PB,RATES,SIMM,-6634.94,0.01807795,DARWIN,Swaption,,0510:REG_VM|7697:REG_IMC,,2026-06-10
30323583,,2025-07-01,2026-11-07,2026-08-16,TDBK,BANCO HABITAT,,Buy,Put,210000000.0,EUR,,,USD,2026-07-01,FX/IR,3319,700000.0,IM,2026-05-24,TDBK_BANH_REG_IMC_CSA,PB,RATES,SIMM,1922.05,,CALYPSOCPG,Credit Default Swap,,3319:REG_VM|7476:REG_IMC,,2026-07-01
99960507,,2024-03-04,2024-08-26,2029-07-27,TDBK,CENTRAL 1 CREDIT UNION,,Buy,Put,205000000.0,CAD,,,USD,2026-07-01,FX/IR,2433,1400000.0,VM,2026-11-08,TDBK_BCCU_REG_VM_CSA,PB,RATES,SIMM,-4596.79,0.04903887,CALYPSOCPG,IR Swap,,2433:REG_VM|7906:REG_IMC,,2026-06-03
50113345,,2024-04-20,2025-03-19,2027-08-04,TDBK,INVESTEC BANK LIMITED,,Sell,,39000000.0,GBP,,,USD,2026-07-01,FX/IR,8904,-400000.0,IM,2026-09-27,TDBK_INBL_GENERAL_CSA,,,SIMM,-379.6,0.00356851,SOPHIS,Equity Swap,,8904:REG_VM|7829:REG_IMC,,2026-06-24
29202540,,2026-02-03,2026-07-06,2031-02-18,TDBK,INVESTEC BANK LIMITED,,Sell,,65000000.0,USD,,,USD,2026-07-01,,0189,2000000.0,VM,2026-12-10,TDBK_INBL_REG_VM_CSA,PB,RATES,SIMM,3442.76,0.02055761,CALYPSOCPG,Credit Default Swap,,0189:REG_VM|7310:REG_IMC,,2026-06-03
60025399,,2024-06-13,2025-06-20,2031-02-24,TDBK,MORGAN STANLEY INTL,109.92,Sell,Put,97000000.0,GBP,,,USD,2026-07-01,FX/IR,A6947,1300000.0,IM,2026-05-08,TDBK_MSIL_REG_VM_CSA,PB,RATES,SIMM,117.75,0.04417916,CALYPSOCPG,IR Swap,,A6947:REG_VM|7607:REG_IMC,,2026-06-17
26542894,,2025-06-08,2024-05-06,2031-12-20,TDBK,WELLINGTON GLOBAL EQUITY FUND 28R5,,Sell,,284000000.0,GBP,,,USD,2026-07-01,FX/IR,0244,300000.0,VM,2026-06-01,TDBK_WH17_REG_VM_CSA,PB,RATES,SIMM,,0.04631663,DARWIN,Swaption,,0244:REG_VM|7503:REG_IMC,,2026-06-10
52452640,,2025-06-14,2024-03-19,2026-09-08,TDBK,CENTRAL 1 CREDIT UNION,107.47,Buy,Call,216000000.0,CAD,,,USD,2026-07-01,FX/IR,K6618,-200000.0,IM,2026-12-21,TDBK_BCCU_GENERAL_CSA,PB,RATES,SIMM,-1013.98,0.02380234,MUREXFXO,FX Option,,K6618:REG_VM|7713:REG_IMC,,2026-06-24
91301389,,2024-07-05,2024-06-28,2031-10-20,TDBK,BANCO HABITAT,,Sell,,296000000.0,EUR,,,USD,2026-07-01,FX/IR,0651,1500000.0,VM,2026-04-04,TDBK_BANH_REG_VM_CSA,PB,RATES,SIMM,1786.03,0.00456571,MUREXFXO,FX Option,,0651:REG_VM|7778:REG_IMC,,2026-06-17
85308146,,2024-12-04,2024-02-20,2031-02-10,TDBK,BANCO HABITAT,100.8,Buy,Call,346000000.0,GBP,,,USD,2026-07-01,FX/IR,9961,2000000.0,IM,2026-02-20,TDBK_BANH_REG_VM_CSA,PB,RATES,SIMM,-1403.64,0.00256416,CALYPSOCPG,IR Swap,,9961:REG_VM|7777:REG_IMC,,2026-06-03
37825301,,2026-10-21,2026-03-11,2031-11-05,TDBK,MORGAN STANLEY INTL,,Buy,,147000000.0,CAD,,,USD,2026-07-01,FX/IR,4888,1100000.0,VM,2026-06-13,TDBK_MSIL_REG_VM_CSA,PB,RATES,SIMM,-4525.84,0.02485405,CALYPSOCPG,Credit Default Swap,,4888:REG_VM|7768:REG_IMC,,2026-06-10
54908182,,2025-11-12,2024-08-05,2030-05-11,TDBK,SWISS LIFE AG,98.29,Sell,,123000000.0,GBP,,,USD,2026-07-01,FX/IR,8132,1000000.0,IM,2026-09-09,TDBK_SWCD_REG_VM_CSA,PB,,SIMM,-9252.22,0.0402479,CALYPSOCPG,IR Swap,,8132:REG_VM|7039:REG_IMC,,2026-06-10
47557511,,2024-06-21,2024-08-26,2029-11-13,TDBK,BANK OF NOVA SCOTIA,96.69,Buy,,185000000.0,GBP,,,USD,2026-07-01,FX/IR,0119,1900000.0,IM,2026-03-22,,PB,,SIMM,-470.74,0.00350168,CALYPSOCPG,Credit Default Swap,,0119:REG_VM|7306:REG_IMC,,2026-06-10
43258732,,2024-02-10,2024-07-22,2031-11-14,TDBK,BIMCOR INC,101.55,Sell,,332000000.0,GBP,,,USD,2026-07-01,FX/IR,0164,900000.0,Net,2026-02-06,TDBK_BIMC_GENERAL_CSA,PB,,SIMM,-3780.72,0.0369549,CALYPSOCPG,IR Swap,,0164:REG_VM|7970:REG_IMC,,2026-06-03
62607848,,2024-02-23,2026-05-15,2030-03-14,TDBK,BANK OF NOVA SCOTIA,107.38,Sell,Put,239000000.0,GBP,,,USD,2026-07-01,FX/IR,0836,2000000.0,VM,2026-11-25,TDBK_BNSC_REG_VM_CSA,PB,RATES,SIMM,-6878.76,0.03477331,DARWIN,Swaption,,0836:REG_VM|7555:REG_IMC,,2026-06-17
82739854,,2024-11-07,2024-01-08,2028-04-26,TDBK,CENTRAL 1 CREDIT UNION,104.01,Sell,,16000000.0,GBP,,,USD,2026-07-01,,K6618,1300000.0,VM,2026-12-22,TDBK_BCCU_GENERAL_CSA,PB,,SIMM,1409.61,0.03790342,SOPHIS,Equity Swap,,K6618:REG_VM|7746:REG_IMC,,2026-06-10
89871064,,2025-12-12,2024-06-09,2028-04-16,TDBK,CENTRAL 1 CREDIT UNION,109.86,Sell,,446000000.0,EUR,,,USD,2026-07-01,,A5763,-400000.0,IM,2026-11-19,TDBK_BCCU_GENERAL_CSA,PB,RATES,SIMM,9210.48,0.01287513,CALYPSOCPG,Credit Default Swap,,A5763:REG_VM|7557:REG_IMC,,2026-06-03
15027364,,2024-11-27,2025-06-22,2031-04-20,TDBK,CITIBANK NA,106.99,Sell,,50000000.0,EUR,,,USD,2026-07-01,,3547,-100000.0,IM,2026-08-15,TDBK_CITI_REG_IMC_CSA,PB,RATES,SIMM,-6886.5,0.04153927,CALYPSOCPG,IR Swap,,3547:REG_VM|7366:REG_IMC,,2026-07-01
33371636,,2026-02-11,2024-04-26,2029-08-20,TDBK,INVESTEC BANK LIMITED,95.32,Sell,Put,300000000.0,GBP,,,USD,2026-07-01,FX/IR,0991,1400000.0,Net,2026-06-22,TDBK_INBL_REG_VM_CSA,PB,RATES,SIMM,-7933.59,,CALYPSOCPG,IR Swap,,0991:REG_VM|7069:REG_IMC,,2026-06-24
82971520,,2026-04-27,2026-12-10,2030-04-01,TDBK,BANCO HABITAT,91.16,Sell,,46000000.0,USD,,,USD,2026-07-01,FX/IR,K190,1200000.0,VM,2026-09-06,TDBK_BANH_REG_VM_CSA,PB,RATES,SIMM,8967.44,0.00450188,CALYPSOCPG,IR Swap,,K190:REG_VM|7189:REG_IMC,,2026-06-10
26867449,,2024-12-05,2026-06-16,2027-10-15,TDBK,CENTRAL 1 CREDIT UNION,96.52,Sell,,212000000.0,USD,,,USD,2026-07-01,FX/IR,0607,-400000.0,Net,2026-11-25,TDBK_BCCU_REG_VM_CSA,PB,RATES,SIMM,,0.02388381,CALYPSOCPG,Credit Default Swap,,0607:REG_VM|7812:REG_IMC,,2026-06-24
57145563,,2025-10-17,2025-06-04,2026-09-10,TDBK,DEUTSCHE BANK A.G.,94.71,Sell,Put,233000000.0,GBP,,,USD,2026-07-01,FX/IR,7636,-500000.0,IM,2026-01-07,TDBK_DBFR_GENERAL_CSA,PB,RATES,SIMM,4014.94,0.03185447,CALYPSOCPG,IR Swap,,7636:REG_VM|7114:REG_IMC,,2026-07-01
28417220,,2025-10-27,2024-01-26,2027-11-03,TDBK,BANCO HABITAT,102.45,Buy,,424000000.0,USD,,,USD,2026-07-01,FX/IR,2513,500000.0,IM,2026-10-26,TDBK_BANH_REG_IMC_CSA,PB,RATES,SIMM,1462.34,0.04630729,DARWIN,Swaption,,2513:REG_VM|7897:REG_IMC,,2026-06-17
21475343,,2026-01-23,2026-01-23,2030-02-21,TDBK,SWISS LIFE AG,,Sell,,10000000.0,GBP,,,USD,2026-07-01,FX/IR,8758,1400000.0,VM,2026-05-08,TDBK_SWCD_GENERAL_CSA,PB,RATES,SIMM,6980.41,0.01952972,CALYPSOCPG,IR Swap,,8758:REG_VM|7567:REG_IMC,,2026-06-17
41281694,,2026-04-28,2026-01-16,2028-11-17,TDBK,BANK OF NOVA SCOTIA,92.38,Buy,Put,110000000.0,USD,,,USD,2026-07-01,FX/IR,3548,1400000.0,Net,2026-06-19,TDBK_BNSC_REG_VM_CSA,PB,RATES,SIMM,1304.88,0.03741015,CALYPSOCPG,IR Swap,,3548:REG_VM|7459:REG_IMC,,2026-06-10
31958150,,2026-09-08,2025-06-02,2027-06-12,TDBK,BANK OF NOVA SCOTIA,,Sell,,498000000.0,USD,,,USD,2026-07-01,FX/IR,0873,500000.0,Net,2026-12-12,TDBK_BNSC_GENERAL_CSA,PB,RATES,SIMM,8567.76,0.02289249,CALYPSOCPG,IR Swap,,0873:REG_VM|7282:REG_IMC,,2026-06-03
44886660,,2024-09-17,2024-02-19,2026-04-02,TDBK,MORGAN STANLEY INTL,,Buy,Call,360000000.0,CAD,,,USD,2026-07-01,,0466,-400000.0,Net,2026-02-15,TDBK_MSIL_GENERAL_CSA,PB,RATES,SIMM,7291.82,0.03204494,CALYPSOCPG,Credit Default Swap,,0466:REG_VM|7757:REG_IMC,,2026-06-24
38001234,,2024-05-14,2025-12-13,2031-10-04,TDBK,CENTRAL 1 CREDIT UNION,108.22,Buy,,497000000.0,CAD,,,USD,2026-07-01,FX/IR,0936,-300000.0,IM,2026-10-26,TDBK_BCCU_GENERAL_CSA,PB,RATES,SIMM,-9656.52,0.00837039,MUREXFXO,FX Option,,0936:REG_VM|7520:REG_IMC,,2026-06-17
17675665,,2025-01-15,2024-11-15,2031-05-26,TDBK,CITIBANK NA,101.05,Sell,,380000000.0,EUR,,,USD,2026-07-01,FX/IR,0946,1400000.0,IM,2026-09-05,TDBK_CITI_REG_IMC_CSA,PB,RATES,SIMM,-1604.11,0.01794787,CALYPSOCPG,Credit Default Swap,,0946:REG_VM|7847:REG_IMC,,2026-07-01
11637353,,2025-09-13,2025-08-24,2029-03-19,TDBK,MORGAN STANLEY INTL,,Sell,,35000000.0,CAD,,,USD,2026-07-01,FX/IR,6071,2000000.0,IM,2026-11-28,TDBK_MSIL_REG_VM_CSA,PB,RATES,SIMM,-1490.44,0.00655809,CALYPSOCPG,Credit Default Swap,,6071:REG_VM|7847:REG_IMC,,2026-06-03
78762509,,2026-12-13,2024-04-18,2030-01-13,TDBK,CITIBANK NA,,Buy,,220000000.0,USD,,,USD,2026-07-01,FX/IR,K3985,0.0,Net,2026-05-23,TDBK_CITI_REG_VM_CSA,PB,RATES,SIMM,964.43,0.04375102,SOPHIS,Equity Swap,,K3985:REG_VM|7036:REG_IMC,,2026-06-24
