trade_id,counterparty_name_raw,counterparty_lei,product,notional,true_cp_code
6000063,Scotiabank,,FX Option,165000000,BNSC
6000064,Investec Bank Limted,549300RH5FFHO48FXT69,FX Option,197000000,INBL
6000065,Morgan Stanly,4PQUHN3JPFGFNF3BB653,IR Swap,13000000,MSIL
6000066,Citibank NA,E57ODZWZ7FF32TWEFA76,CDS,20000000,CITI
6000067,Citibank NA,E57ODZWZ7FF32TWEFA76,Repo,66000000,CITI
6000068,INVESTC BANK,549300RH5FFHO48FXT69,Repo,137000000,INBL
6000069,Citibank NA,E57ODZWZ7FF32TWEFA76,CDS,200000000,CITI
6000070,BNS,,IR Swap,101000000,BNSC
6000071,Morgan Stanley Intl,4PQUHN3JPFGFNF3BB653,Repo,34000000,MSIL
6000072,DEUTSCHE,7LTWFZYICNSX8D621K86,FX Option,97000000,DBFR
6000073,JP MORGAN,7H6GLXDRUGQFU57RNE97,IR Swap,26000000,JPMC
6000074,Citibanc,,FX Option,55000000,CITI
6000075,Investec Bank Limted,,CDS,138000000,INBL
6000076,Morgan Stanly,4PQUHN3JPFGFNF3BB653,FX Option,90000000,MSIL
6000077,FIRST REPUBLIC BANK,7H6GLXDRUGQFU57RNE97,CDS,141000000,JPMC
6000078,D.B.,7LTWFZYICNSX8D621K86,FX Option,56000000,DBFR
6000079,Morgan Stanley Intl,4PQUHN3JPFGFNF3BB653,FX Option,45000000,MSIL
6000080,JP MORGAN,,IR Swap,121000000,JPMC
6000081,INVESTC BANK,,Repo,127000000,INBL
6000082,FIRST REPUBLIC BANK,,Repo,135000000,JPMC
6000083,JP MORGAN,,IR Swap,134000000,JPMC
6000084,JP MORGAN,7H6GLXDRUGQFU57RNE97,Repo,157000000,JPMC
6000085,Investec Bank Limted,,CDS,147000000,INBL
6000086,DB,7LTWFZYICNSX8D621K86,FX Option,129000000,DBFR
6000087,CENTRAL 1 CU,549300XXHOD8SXSZKY72,FX Option,133000000,BCCU
6000088,Deutsche Bank,7LTWFZYICNSX8D621K86,IR Swap,17000000,DBFR
6000089,JPM,7H6GLXDRUGQFU57RNE97,Repo,69000000,JPMC
6000090,Investec Bank Limted,549300RH5FFHO48FXT69,CDS,112000000,INBL
6000091,Morgan Stanly,4PQUHN3JPFGFNF3BB653,FX Option,50000000,MSIL
6000092,Deutsche Bank,,IR Swap,180000000,DBFR
6000093,Morgan Stanley Intl,4PQUHN3JPFGFNF3BB653,IR Swap,59000000,MSIL
6000094,CENTRAL 1 CU,549300XXHOD8SXSZKY72,CDS,63000000,BCCU
6000095,JPM,7H6GLXDRUGQFU57RNE97,FX Option,131000000,JPMC
6000096,JP MORGAN,,Repo,6000000,JPMC
6000097,DEUTSCHE,,IR Swap,138000000,DBFR
6000098,INVESTC BANK,549300RH5FFHO48FXT69,IR Swap,136000000,INBL
6000099,INVESTC BANK,,IR Swap,60000000,INBL
6000100,Citibanc,,IR Swap,81000000,CITI
6000101,JP MORGAN,,IR Swap,56000000,JPMC
6000102,Morgan Stanley Intl,,IR Swap,62000000,MSIL
6000103,INVESTC BANK,549300RH5FFHO48FXT69,Repo,25000000,INBL
6000104,DEUTSCHE,7LTWFZYICNSX8D621K86,IR Swap,52000000,DBFR
6000105,Deutsche Bank,7LTWFZYICNSX8D621K86,CDS,93000000,DBFR
6000106,CENTRAL 1 CU,549300XXHOD8SXSZKY72,CDS,129000000,BCCU
6000107,Citibank NA,,Repo,28000000,CITI
6000108,CENTRAL 1 CREDIT UNION,,Repo,38000000,BCCU
6000109,INVESTEC BANK LIMITED,549300RH5FFHO48FXT69,IR Swap,41000000,INBL
6000110,BNS,L3I9ZG2KFGXZ61BMYR72,FX Option,35000000,BNSC
6000111,CITI,E57ODZWZ7FF32TWEFA76,FX Option,84000000,CITI
6000112,DEUTSCHE,7LTWFZYICNSX8D621K86,CDS,111000000,DBFR
6000113,INVESTC BANK,549300RH5FFHO48FXT69,FX Option,52000000,INBL
6000114,Investec Bank Limted,549300RH5FFHO48FXT69,CDS,104000000,INBL
6000115,INVESTC BANK,549300RH5FFHO48FXT69,FX Option,83000000,INBL
6000116,CENTRAL 1 CU,,Repo,146000000,BCCU
6000117,First Republic,7H6GLXDRUGQFU57RNE97,CDS,196000000,JPMC
6000118,Scotiabank,,IR Swap,104000000,BNSC
6000119,Investec Bank Limted,,CDS,197000000,INBL
6000120,DB,7LTWFZYICNSX8D621K86,IR Swap,19000000,DBFR
6000121,Morgan Stanly,4PQUHN3JPFGFNF3BB653,FX Option,3000000,MSIL
6000122,BNS,,FX Option,60000000,BNSC
6000123,BNS,L3I9ZG2KFGXZ61BMYR72,IR Swap,169000000,BNSC
6000124,DB,7LTWFZYICNSX8D621K86,Repo,132000000,DBFR
6000125,DB,,Repo,148000000,DBFR
6000126,CENTRAL 1 CREDIT UNION,,IR Swap,66000000,BCCU
6000127,DEUTSCHE,7LTWFZYICNSX8D621K86,IR Swap,166000000,DBFR
6000128,Deutsche Bank,7LTWFZYICNSX8D621K86,CDS,71000000,DBFR
6000129,BNS,L3I9ZG2KFGXZ61BMYR72,Repo,134000000,BNSC
6000130,FIRST REPUBLIC BANK,,FX Option,141000000,JPMC
6000131,FIRST REPUBLIC BANK,7H6GLXDRUGQFU57RNE97,IR Swap,99000000,JPMC
6000132,DB,,FX Option,110000000,DBFR
6000133,DEUTSCHE,7LTWFZYICNSX8D621K86,Repo,154000000,DBFR
6000134,Scotiabank,L3I9ZG2KFGXZ61BMYR72,Repo,168000000,BNSC
6000135,BNS,,CDS,7000000,BNSC
6000136,CENTRAL 1 CREDIT UNION,549300XXHOD8SXSZKY72,IR Swap,105000000,BCCU
6000137,Morgan Stanly,4PQUHN3JPFGFNF3BB653,CDS,192000000,MSIL
6000138,Deutsche Bank,7LTWFZYICNSX8D621K86,CDS,19000000,DBFR
6000139,Morgan Stanley Intl,4PQUHN3JPFGFNF3BB653,Repo,65000000,MSIL
6000140,Morgan Stanley Intl,4PQUHN3JPFGFNF3BB653,FX Option,186000000,MSIL
6000141,DB,,IR Swap,155000000,DBFR
6000142,Citibank NA,E57ODZWZ7FF32TWEFA76,Repo,117000000,CITI
6000143,CENTRAL 1 CREDIT UNION,,CDS,136000000,BCCU
6000144,INVESTEC BANK LIMITED,549300RH5FFHO48FXT69,IR Swap,171000000,INBL
6000145,DEUTSCHE,,Repo,94000000,DBFR
6000146,Morgan Stanley Intl,,IR Swap,62000000,MSIL
6000147,Deutsche Bank,7LTWFZYICNSX8D621K86,CDS,130000000,DBFR
6000148,JP MORGAN,7H6GLXDRUGQFU57RNE97,IR Swap,163000000,JPMC
6000149,BANK OF NOVA SCOTIA,L3I9ZG2KFGXZ61BMYR72,IR Swap,129000000,BNSC
6000150,Citibank NA,,FX Option,161000000,CITI
6000151,CENTRAL 1 CREDIT UNION,549300XXHOD8SXSZKY72,Repo,7000000,BCCU
6000152,FIRST REPUBLIC BANK,7H6GLXDRUGQFU57RNE97,CDS,19000000,JPMC
6000153,Morgan Stanley Intl,,IR Swap,141000000,MSIL
6000154,INVESTC BANK,,Repo,123000000,INBL
6000155,BANK OF NOVA SCOTIA,L3I9ZG2KFGXZ61BMYR72,Repo,191000000,BNSC
6000156,INVESTEC BANK LIMITED,,Repo,160000000,INBL
6000157,Morgan Stanley Intl,4PQUHN3JPFGFNF3BB653,CDS,100000000,MSIL
6000158,Morgan Stanley Intl,4PQUHN3JPFGFNF3BB653,CDS,75000000,MSIL
6000159,First Republic,7H6GLXDRUGQFU57RNE97,CDS,149000000,JPMC
6000160,Central 1,,FX Option,140000000,BCCU
6000161,Central 1,549300XXHOD8SXSZKY72,Repo,176000000,BCCU
6000162,D.B.,,FX Option,20000000,DBFR
6000163,BANK OF NOVA SCOTIA,,FX Option,178000000,BNSC
6000164,Scotiabank,,CDS,73000000,BNSC
6000165,INVESTEC BANK LIMITED,549300RH5FFHO48FXT69,CDS,94000000,INBL
6000166,Central 1,,CDS,113000000,BCCU
6000167,JP MORGAN,7H6GLXDRUGQFU57RNE97,IR Swap,103000000,JPMC
6000168,Citibanc,E57ODZWZ7FF32TWEFA76,CDS,94000000,CITI
6000169,Central 1,,Repo,50000000,BCCU
6000170,Citibanc,E57ODZWZ7FF32TWEFA76,Repo,139000000,CITI
6000171,INVESTC BANK,549300RH5FFHO48FXT69,IR Swap,23000000,INBL
6000172,Morgan Stanly,,CDS,6000000,MSIL
6000173,INVESTC BANK,549300RH5FFHO48FXT69,IR Swap,146000000,INBL
6000174,BANK OF NOVA SCOTIA,,Repo,17000000,BNSC
6000175,JP MORGAN,,FX Option,86000000,JPMC
6000176,Central 1,,CDS,22000000,BCCU
6000177,CENTRAL 1 CU,,FX Option,191000000,BCCU
6000178,Morgan Stanly,4PQUHN3JPFGFNF3BB653,IR Swap,126000000,MSIL
6000179,Morgan Stanly,,Repo,90000000,MSIL
6000180,Scotiabank,,Repo,125000000,BNSC
6000181,FIRST REPUBLIC BANK,,FX Option,106000000,JPMC
6000182,Morgan Stanly,,Repo,23000000,MSIL
6000183,Deutsche Bank,7LTWFZYICNSX8D621K86,FX Option,29000000,DBFR
6000184,DEUTSCHE,,IR Swap,190000000,DBFR
6000185,INVESTC BANK,549300RH5FFHO48FXT69,IR Swap,83000000,INBL
6000186,Investec Bank Limted,549300RH5FFHO48FXT69,CDS,71000000,INBL
6000187,Central 1,549300XXHOD8SXSZKY72,FX Option,78000000,BCCU
6000188,Citibank NA,,IR Swap,16000000,CITI
6000189,Morgan Stanly,4PQUHN3JPFGFNF3BB653,Repo,10000000,MSIL
6000190,BANK OF NOVA SCOTIA,L3I9ZG2KFGXZ61BMYR72,CDS,56000000,BNSC
6000191,First Republic,,Repo,153000000,JPMC
6000192,First Republic,7H6GLXDRUGQFU57RNE97,CDS,104000000,JPMC
6000193,Investec Bank Limted,,Repo,67000000,INBL
6000194,DEUTSCHE,,CDS,170000000,DBFR
6000195,FIRST REPUBLIC BANK,7H6GLXDRUGQFU57RNE97,IR Swap,103000000,JPMC
6000196,CENTRAL 1 CREDIT UNION,,Repo,136000000,BCCU
6000197,Morgan Stanly,,FX Option,169000000,MSIL
6000198,INVESTEC BANK LIMITED,,CDS,116000000,INBL
6000199,Morgan Stanley Intl,,IR Swap,107000000,MSIL
6000200,Investec Bank Limted,549300RH5FFHO48FXT69,IR Swap,164000000,INBL
6000201,Citibanc,E57ODZWZ7FF32TWEFA76,FX Option,39000000,CITI
6000202,First Republic,7H6GLXDRUGQFU57RNE97,IR Swap,33000000,JPMC
6000203,Central 1,549300XXHOD8SXSZKY72,FX Option,123000000,BCCU
6000204,CITI,E57ODZWZ7FF32TWEFA76,CDS,5000000,CITI
6000205,Morgan Stanley Intl,4PQUHN3JPFGFNF3BB653,FX Option,113000000,MSIL
6000206,INVESTEC BANK LIMITED,549300RH5FFHO48FXT69,Repo,41000000,INBL
6000207,Morgan Stanly,4PQUHN3JPFGFNF3BB653,Repo,20000000,MSIL
6000208,JP MORGAN,,FX Option,93000000,JPMC
6000209,CENTRAL 1 CU,549300XXHOD8SXSZKY72,Repo,174000000,BCCU
6000210,Deutsche Bank,,FX Option,97000000,DBFR
6000211,Citibanc,E57ODZWZ7FF32TWEFA76,CDS,145000000,CITI
6000212,Central 1,,IR Swap,158000000,BCCU
6000213,Investec Bank Limted,,CDS,87000000,INBL
6000214,Morgan Stanly,4PQUHN3JPFGFNF3BB653,FX Option,66000000,MSIL
6000215,INVESTEC BANK LIMITED,549300RH5FFHO48FXT69,FX Option,85000000,INBL
6000216,Scotiabank,L3I9ZG2KFGXZ61BMYR72,CDS,115000000,BNSC
6000217,Morgan Stanly,4PQUHN3JPFGFNF3BB653,IR Swap,160000000,MSIL
6000218,CENTRAL 1 CREDIT UNION,,IR Swap,47000000,BCCU
6000219,Investec Bank Limted,549300RH5FFHO48FXT69,Repo,152000000,INBL
6000220,Citibank NA,E57ODZWZ7FF32TWEFA76,FX Option,41000000,CITI
6000221,Central 1,549300XXHOD8SXSZKY72,FX Option,88000000,BCCU
6000222,Morgan Stanly,,IR Swap,166000000,MSIL
6000223,INVESTEC BANK LIMITED,,Repo,124000000,INBL
6000224,Scotiabank,,Repo,157000000,BNSC
6000225,CITI,,IR Swap,170000000,CITI
6000226,FIRST REPUBLIC BANK,7H6GLXDRUGQFU57RNE97,IR Swap,88000000,JPMC
6000227,BNS,L3I9ZG2KFGXZ61BMYR72,Repo,53000000,BNSC
6000228,JP MORGAN,,FX Option,157000000,JPMC
6000229,Citibank NA,E57ODZWZ7FF32TWEFA76,CDS,141000000,CITI
6000230,Investec Bank Limted,,IR Swap,147000000,INBL
6000231,Citibank NA,,IR Swap,146000000,CITI
6000232,CENTRAL 1 CU,,FX Option,35000000,BCCU
6000233,Investec Bank Limted,549300RH5FFHO48FXT69,CDS,85000000,INBL
6000234,Central 1,549300XXHOD8SXSZKY72,FX Option,116000000,BCCU
6000235,Citibank NA,E57ODZWZ7FF32TWEFA76,FX Option,144000000,CITI
6000236,BANK OF NOVA SCOTIA,,CDS,154000000,BNSC
6000237,INVESTEC BANK LIMITED,,FX Option,74000000,INBL
6000238,CITI,E57ODZWZ7FF32TWEFA76,CDS,43000000,CITI
6000239,INVESTC BANK,549300RH5FFHO48FXT69,FX Option,117000000,INBL
6000240,Central 1,549300XXHOD8SXSZKY72,IR Swap,79000000,BCCU
6000241,Morgan Stanly,,FX Option,41000000,MSIL
6000242,Investec Bank Limted,549300RH5FFHO48FXT69,IR Swap,136000000,INBL
6000243,Deutsche Bank,7LTWFZYICNSX8D621K86,IR Swap,87000000,DBFR
6000244,First Republic,7H6GLXDRUGQFU57RNE97,CDS,14000000,JPMC
6000245,Citibank NA,,IR Swap,104000000,CITI
6000246,Deutsche Bank,7LTWFZYICNSX8D621K86,Repo,160000000,DBFR
6000247,Citibanc,,CDS,125000000,CITI
6000248,DEUTSCHE,,FX Option,145000000,DBFR
6000249,CENTRAL 1 CU,549300XXHOD8SXSZKY72,Repo,108000000,BCCU
6000250,Central 1,,CDS,186000000,BCCU
6000251,JPM,,CDS,193000000,JPMC
6000252,Morgan Stanly,,FX Option,63000000,MSIL
6000253,Central 1,549300XXHOD8SXSZKY72,Repo,14000000,BCCU
6000254,Deutsche Bank,7LTWFZYICNSX8D621K86,IR Swap,140000000,DBFR
6000255,BNS,L3I9ZG2KFGXZ61BMYR72,IR Swap,18000000,BNSC
6000256,Citibanc,E57ODZWZ7FF32TWEFA76,Repo,145000000,CITI
6000257,Morgan Stanley Intl,4PQUHN3JPFGFNF3BB653,Repo,146000000,MSIL
6000258,CENTRAL 1 CREDIT UNION,549300XXHOD8SXSZKY72,IR Swap,32000000,BCCU
6000259,JPM,7H6GLXDRUGQFU57RNE97,IR Swap,187000000,JPMC
6000260,BANK OF NOVA SCOTIA,L3I9ZG2KFGXZ61BMYR72,FX Option,113000000,BNSC
6000261,DEUTSCHE,7LTWFZYICNSX8D621K86,IR Swap,12000000,DBFR
6000262,BANK OF NOVA SCOTIA,L3I9ZG2KFGXZ61BMYR72,CDS,79000000,BNSC
6000263,Scotiabank,L3I9ZG2KFGXZ61BMYR72,Repo,53000000,BNSC
6000264,Investec Bank Limted,,FX Option,51000000,INBL
6000265,Scotiabank,,FX Option,45000000,BNSC
6000266,Citibanc,,IR Swap,137000000,CITI
6000267,Citibank NA,E57ODZWZ7FF32TWEFA76,FX Option,167000000,CITI
6000268,Central 1,,CDS,71000000,BCCU
6000269,Morgan Stanly,,IR Swap,86000000,MSIL
6000270,CITI,E57ODZWZ7FF32TWEFA76,IR Swap,58000000,CITI
6000271,Morgan Stanly,4PQUHN3JPFGFNF3BB653,IR Swap,69000000,MSIL
6000272,INVESTC BANK,549300RH5FFHO48FXT69,CDS,70000000,INBL
6000273,BNS,L3I9ZG2KFGXZ61BMYR72,FX Option,152000000,BNSC
6000274,First Republic,,IR Swap,171000000,JPMC
6000275,Investec Bank Limted,549300RH5FFHO48FXT69,FX Option,119000000,INBL
6000276,Central 1,,FX Option,136000000,BCCU
6000277,CENTRAL 1 CREDIT UNION,549300XXHOD8SXSZKY72,CDS,138000000,BCCU
6000278,Scotiabank,,FX Option,43000000,BNSC
6000279,BANK OF NOVA SCOTIA,L3I9ZG2KFGXZ61BMYR72,CDS,188000000,BNSC
6000280,FIRST REPUBLIC BANK,7H6GLXDRUGQFU57RNE97,IR Swap,9000000,JPMC
6000281,JPM,,Repo,1000000,JPMC
6000282,Deutsche Bank,7LTWFZYICNSX8D621K86,CDS,83000000,DBFR
6000283,CITI,,CDS,130000000,CITI
6000284,Morgan Stanley Intl,4PQUHN3JPFGFNF3BB653,IR Swap,29000000,MSIL
6000285,JPM,7H6GLXDRUGQFU57RNE97,Repo,141000000,JPMC
6000286,Morgan Stanly,,IR Swap,67000000,MSIL
6000287,DB,,Repo,67000000,DBFR
6000288,CENTRAL 1 CREDIT UNION,549300XXHOD8SXSZKY72,FX Option,147000000,BCCU
6000289,DB,7LTWFZYICNSX8D621K86,FX Option,156000000,DBFR
6000290,DEUTSCHE,7LTWFZYICNSX8D621K86,CDS,8000000,DBFR
6000291,CENTRAL 1 CREDIT UNION,,IR Swap,160000000,BCCU
6000292,INVESTEC BANK LIMITED,549300RH5FFHO48FXT69,FX Option,179000000,INBL
6000293,BNS,,CDS,196000000,BNSC
6000294,JPM,7H6GLXDRUGQFU57RNE97,IR Swap,97000000,JPMC
6000295,BANK OF NOVA SCOTIA,L3I9ZG2KFGXZ61BMYR72,Repo,16000000,BNSC
6000296,Scotiabank,L3I9ZG2KFGXZ61BMYR72,IR Swap,181000000,BNSC
6000297,CENTRAL 1 CREDIT UNION,549300XXHOD8SXSZKY72,IR Swap,38000000,BCCU
6000298,CITI,E57ODZWZ7FF32TWEFA76,FX Option,1000000,CITI
6000299,Investec Bank Limted,,IR Swap,24000000,INBL
6000300,D.B.,7LTWFZYICNSX8D621K86,FX Option,9000000,DBFR
6000301,Citibanc,,IR Swap,76000000,CITI
6000302,BANK OF NOVA SCOTIA,L3I9ZG2KFGXZ61BMYR72,IR Swap,108000000,BNSC
6000303,Deutsche Bank,,CDS,80000000,DBFR
6000304,BNS,L3I9ZG2KFGXZ61BMYR72,IR Swap,104000000,BNSC
6000305,FIRST REPUBLIC BANK,,IR Swap,119000000,JPMC
6000306,Morgan Stanly,,IR Swap,98000000,MSIL
6000307,Deutsche Bank,7LTWFZYICNSX8D621K86,CDS,64000000,DBFR
6000308,INVESTC BANK,,Repo,53000000,INBL
6000309,DB,7LTWFZYICNSX8D621K86,CDS,121000000,DBFR
6000310,DEUTSCHE,,IR Swap,125000000,DBFR
6000311,INVESTC BANK,549300RH5FFHO48FXT69,FX Option,13000000,INBL
6000312,CITI,E57ODZWZ7FF32TWEFA76,CDS,159000000,CITI
6000313,CENTRAL 1 CU,549300XXHOD8SXSZKY72,CDS,132000000,BCCU
6000314,DB,7LTWFZYICNSX8D621K86,CDS,15000000,DBFR
6000315,INVESTC BANK,,CDS,36000000,INBL
6000316,Morgan Stanley Intl,,FX Option,6000000,MSIL
6000317,Scotiabank,L3I9ZG2KFGXZ61BMYR72,Repo,84000000,BNSC
6000318,BNS,,CDS,101000000,BNSC
6000319,First Republic,7H6GLXDRUGQFU57RNE97,IR Swap,39000000,JPMC
6000320,First Republic,7H6GLXDRUGQFU57RNE97,CDS,106000000,JPMC
6000321,DEUTSCHE,7LTWFZYICNSX8D621K86,IR Swap,133000000,DBFR
6000322,Citibanc,E57ODZWZ7FF32TWEFA76,Repo,171000000,CITI
6000323,DB,,CDS,137000000,DBFR
6000324,CITI,E57ODZWZ7FF32TWEFA76,Repo,133000000,CITI
6000325,Morgan Stanly,4PQUHN3JPFGFNF3BB653,CDS,95000000,MSIL
6000326,BNS,L3I9ZG2KFGXZ61BMYR72,FX Option,7000000,BNSC
6000327,Citibanc,E57ODZWZ7FF32TWEFA76,FX Option,195000000,CITI
6000328,CITI,,FX Option,56000000,CITI
6000329,JP MORGAN,,CDS,61000000,JPMC
6000330,Morgan Stanly,4PQUHN3JPFGFNF3BB653,Repo,31000000,MSIL
6000331,DEUTSCHE,7LTWFZYICNSX8D621K86,Repo,85000000,DBFR
6000332,Scotiabank,,IR Swap,41000000,BNSC
6000333,DB,7LTWFZYICNSX8D621K86,IR Swap,90000000,DBFR
6000334,Citibanc,E57ODZWZ7FF32TWEFA76,FX Option,191000000,CITI
6000335,Scotiabank,,Repo,150000000,BNSC
6000336,BNS,,CDS,180000000,BNSC
6000337,Central 1,549300XXHOD8SXSZKY72,FX Option,104000000,BCCU
6000338,BANK OF NOVA SCOTIA,L3I9ZG2KFGXZ61BMYR72,CDS,121000000,BNSC
6000339,CITI,,FX Option,7000000,CITI
6000340,Central 1,549300XXHOD8SXSZKY72,CDS,145000000,BCCU
6000341,Scotiabank,,IR Swap,165000000,BNSC
6000342,DEUTSCHE,,CDS,8000000,DBFR
6000343,First Republic,,FX Option,159000000,JPMC
6000344,JPM,,FX Option,71000000,JPMC
6000345,Central 1,,Repo,99000000,BCCU
6000346,CENTRAL 1 CREDIT UNION,,CDS,80000000,BCCU
6000347,D.B.,7LTWFZYICNSX8D621K86,FX Option,39000000,DBFR
6000348,First Republic,7H6GLXDRUGQFU57RNE97,CDS,175000000,JPMC
6000349,INVESTEC BANK LIMITED,549300RH5FFHO48FXT69,Repo,1000000,INBL
6000350,INVESTC BANK,549300RH5FFHO48FXT69,FX Option,160000000,INBL
6000351,Morgan Stanly,4PQUHN3JPFGFNF3BB653,FX Option,5000000,MSIL
6000352,BNS,L3I9ZG2KFGXZ61BMYR72,Repo,176000000,BNSC
6000353,INVESTEC BANK LIMITED,,IR Swap,86000000,INBL
6000354,JPM,,CDS,95000000,JPMC
6000355,D.B.,7LTWFZYICNSX8D621K86,Repo,61000000,DBFR
6000356,Citibank NA,E57ODZWZ7FF32TWEFA76,IR Swap,132000000,CITI
6000357,Citibank NA,,FX Option,27000000,CITI
6000358,CITI,E57ODZWZ7FF32TWEFA76,Repo,132000000,CITI
6000359,Morgan Stanly,4PQUHN3JPFGFNF3BB653,Repo,124000000,MSIL
6000360,Central 1,549300XXHOD8SXSZKY72,Repo,65000000,BCCU
6000361,Citibanc,E57ODZWZ7FF32TWEFA76,CDS,47000000,CITI
6000362,BANK OF NOVA SCOTIA,,IR Swap,146000000,BNSC
6000363,DB,,CDS,42000000,DBFR
6000364,INVESTEC BANK LIMITED,549300RH5FFHO48FXT69,CDS,60000000,INBL
6000365,Citibank NA,,Repo,150000000,CITI
6000366,Citibank NA,E57ODZWZ7FF32TWEFA76,CDS,108000000,CITI
6000367,BNS,,Repo,174000000,BNSC
6000368,INVESTEC BANK LIMITED,549300RH5FFHO48FXT69,FX Option,11000000,INBL
6000369,Investec Bank Limted,549300RH5FFHO48FXT69,FX Option,104000000,INBL
6000370,BANK OF NOVA SCOTIA,,Repo,44000000,BNSC
